"MSA","SIC","EMPFLAG","EMP","QP1","AP","EST","N1_4","N5_9","N10_19","N20_49","N50_99","N100_249","N250_499","N500_999","N1000"
"0040","----",,42829,185868,810312,3481,1949,703,410,284,82,40,6,4,3
"0040","07--",,230,531,2646,49,33,7,8,1,0,0,0,0,0
"0040","0700",,230,531,2646,49,33,7,8,1,0,0,0,0,0
"0040","0800",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","0900",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","098\",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","10--",,1328,8356,36938,167,108,40,10,3,5,0,1,0,0
"0040","1000","A",0,0,0,1,0,1,0,0,0,0,0,0,0
"0040","1200",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","1300",,1252,7828,35151,162,108,37,10,1,5,0,1,0,0
"0040","1400","B",0,0,0,3,0,2,0,1,0,0,0,0,0
"0040","149\","B",0,0,0,1,0,0,0,1,0,0,0,0,0
"0040","15--",,2494,10964,49188,260,147,56,29,20,3,5,0,0,0
"0040","1500","E",0,0,0,65,45,13,4,2,1,0,0,0,0
"0040","1600",,729,3361,14465,19,8,2,1,4,1,3,0,0,0
"0040","1700",,1450,6033,27629,175,93,41,24,14,1,2,0,0,0
"0040","179\","A",0,0,0,1,1,0,0,0,0,0,0,0,0
"0040","20--",,3864,24342,98769,104,37,20,18,11,7,9,1,1,0
"0040","2000",,766,3632,16302,11,3,0,2,3,0,2,1,0,0
"0040","2100",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","2200",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","2300",,211,671,2758,7,3,0,1,2,0,1,0,0,0
"0040","2400","A",0,0,0,1,0,1,0,0,0,0,0,0,0
"0040","2500","B",0,0,0,4,1,3,0,0,0,0,0,0,0
"0040","2600",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","2700",,498,2878,12181,22,7,5,4,4,1,1,0,0,0
"0040","2800","A",0,0,0,1,0,1,0,0,0,0,0,0,0
"0040","2900","C",0,0,0,4,3,0,0,0,0,1,0,0,0
"0040","3000","C",0,0,0,4,1,2,0,0,1,0,0,0,0
"0040","3100","A",0,0,0,2,1,1,0,0,0,0,0,0,0
"0040","3200",,68,433,1973,4,1,1,1,1,0,0,0,0,0
"0040","3300","A",0,0,0,1,0,0,1,0,0,0,0,0,0
"0040","3400",,659,4036,16271,10,2,1,2,1,1,3,0,0,0
"0040","3500",,300,1718,7043,16,7,3,4,0,1,1,0,0,0
"0040","3600","B",0,0,0,3,1,0,1,0,1,0,0,0,0
"0040","3700","F",0,0,0,6,1,2,1,0,1,0,0,1,0
"0040","3800","A",0,0,0,2,2,0,0,0,0,0,0,0,0
"0040","3900","B",0,0,0,5,4,0,1,0,0,0,0,0,0
"0040","399\","B",0,0,0,1,0,0,0,0,1,0,0,0,0
"0040","40--",,2370,15650,65842,141,75,16,17,24,7,1,0,1,0
"0040","4100",,111,590,1810,4,1,0,0,3,0,0,0,0,0
"0040","4200",,687,3518,15601,68,40,9,11,6,1,1,0,0,0
"0040","4400",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","4500",,137,779,3262,7,3,0,0,4,0,0,0,0,0
"0040","4600","A",0,0,0,2,2,0,0,0,0,0,0,0,0
"0040","4700",,82,306,1683,13,8,3,1,1,0,0,0,0,0
"0040","4800",,643,3771,16508,31,11,2,4,9,5,0,0,0,0
"0040","4900",,692,6618,26703,14,9,2,0,1,1,0,0,1,0
"0040","497\","A",0,0,0,2,1,0,1,0,0,0,0,0,0
"0040","50--",,2324,12469,55032,281,142,65,54,13,6,1,0,0,0
"0040","5000",,1409,7712,34174,196,100,47,39,8,2,0,0,0,0
"0040","5100",,835,4405,19206,81,41,16,15,5,3,1,0,0,0
"0040","519\",,80,352,1652,4,1,2,0,0,1,0,0,0,0
"0040","52--",,10534,31093,133899,865,418,212,106,94,18,16,1,0,0
"0040","5200",,338,1355,6609,31,17,8,3,1,1,1,0,0,0
"0040","5300",,1511,4279,18335,23,7,4,0,2,2,8,0,0,0
"0040","5400",,1339,4121,17273,70,23,26,7,8,3,2,1,0,0
"0040","5500",,1471,7062,31278,184,116,40,13,12,1,2,0,0,0
"0040","5600",,624,1173,4865,78,36,22,13,6,1,0,0,0,0
"0040","5700",,380,1578,6673,63,38,13,6,6,0,0,0,0,0
"0040","5800",,3512,6992,29756,215,65,48,42,49,9,2,0,0,0
"0040","5900",,1258,3855,16227,192,112,49,21,8,1,1,0,0,0
"0040","599\",,101,678,2883,9,4,2,1,2,0,0,0,0,0
"0040","60--",,1935,10652,44329,333,236,46,27,21,2,1,0,0,0
"0040","6000",,731,3828,15865,43,14,8,10,9,1,1,0,0,0
"0040","6100",,109,698,2814,26,20,3,2,1,0,0,0,0,0
"0040","6200",,91,1394,4957,23,18,1,3,1,0,0,0,0,0
"0040","6300",,160,1118,4315,23,14,4,1,4,0,0,0,0,0
"0040","6400",,239,1217,5936,74,64,6,1,3,0,0,0,0,0
"0040","6500",,482,1627,6719,119,89,19,8,2,1,0,0,0,0
"0040","6700",,123,770,3723,25,17,5,2,1,0,0,0,0,0
"0040","679\",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","70--",,17735,71790,323456,1254,726,241,141,97,34,7,3,2,3
"0040","7000",,454,692,3092,32,14,5,5,6,2,0,0,0,0
"0040","7200",,653,1797,7298,104,62,24,12,4,2,0,0,0,0
"0040","7300",,1836,6855,30469,165,103,27,16,12,5,1,1,0,0
"0040","7500",,608,3079,14173,111,70,27,6,7,1,0,0,0,0
"0040","7600",,359,1759,8047,54,37,8,5,3,1,0,0,0,0
"0040","7800",,159,235,1046,14,4,6,3,0,1,0,0,0,0
"0040","7900",,447,1024,4722,47,23,9,8,5,2,0,0,0,0
"0040","8000",,7935,37811,174995,284,158,58,25,21,13,4,1,2,2
"0040","8100",,250,1800,8096,68,55,7,4,2,0,0,0,0,0
"0040","8200",,1830,6528,26942,18,7,2,2,5,0,0,1,0,1
"0040","8300",,876,2549,11299,74,30,12,18,11,3,0,0,0,0
"0040","8400","B",0,0,0,3,1,1,1,0,0,0,0,0,0
"0040","8600",,1726,3727,15332,159,78,35,24,17,3,2,0,0,0
"0040","8700",,539,3473,15963,109,77,17,10,4,1,0,0,0,0
"0040","8900","A",0,0,0,6,4,2,0,0,0,0,0,0,0
"0040","899\","B",0,0,0,6,3,1,2,0,0,0,0,0,0
"0040","99--","A",0,0,0,27,27,0,0,0,0,0,0,0,0
"0080","----",,270229,1592172,6848381,16548,8394,3574,2135,1477,544,316,67,27,14
"0080","07--",,1373,4930,31294,330,265,37,16,7,2,3,0,0,0
"0080","0700",,1252,4227,28390,327,264,36,16,7,2,2,0,0,0
"0080","0800","A",0,0,0,1,1,0,0,0,0,0,0,0,0
"0080","0900",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0080","098\","C",0,0,0,2,0,1,0,0,0,1,0,0,0
"0080","10--",,379,2281,11201,54,28,13,9,4,0,0,0,0,0
"0080","1000",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0080","1200","A",0,0,0,1,0,1,0,0,0,0,0,0,0
"0080","1300","C",0,0,0,27,19,1,5,2,0,0,0,0,0
"0080","1400",,192,1044,6232,26,9,11,4,2,0,0,0,0,0
"0080","149\",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0080","15--",,14445,83550,430631,1603,1029,310,161,77,17,7,1,0,1
"0080","1500","G",0,0,0,441,306,79,34,17,2,3,0,0,0
"0080","1600",,5012,29990,154931,66,20,14,18,9,2,2,0,0,1
"0080","1700",,7072,39056,204859,1095,702,217,109,51,13,2,1,0,0
"0080","179\","A",0,0,0,1,1,0,0,0,0,0,0,0,0
"0080","20--",,62950,578909,2308838,1394,392,246,217,257,144,105,20,9,4
"0080","2000",,1597,15256,45728,29,7,7,2,4,1,7,1,0,0
"0080","2100",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0080","2200","E",0,0,0,13,6,3,1,0,2,1,0,0,0
"0080","2300","E",0,0,0,21,11,1,7,1,0,1,0,0,0
"0080","2400",,353,1698,7691,28,15,7,3,1,0,2,0,0,0
"0080","2500","F",0,0,0,20,8,6,2,3,0,0,1,0,0
"0080","2600",,1230,11559,46364,18,5,2,1,5,2,2,0,1,0
"0080","2700",,4277,30196,125737,148,52,34,23,19,10,8,1,1,0
"0080","2800",,3054,24090,99932,55,12,10,7,9,7,8,1,1,0
"0080","2900",,165,1081,5805,11,3,3,2,2,1,0,0,0,0
"0080","3000",,10340,67494,299868,185,40,14,20,52,27,25,5,2,0
"0080","3100","A",0,0,0,1,1,0,0,0,0,0,0,0,0
"0080","3200",,749,5520,25044,40,12,7,11,6,3,1,0,0,0
"0080","3300",,1701,11911,48740,37,9,3,5,9,5,5,1,0,0
"0080","3400",,7904,94205,366327,167,35,35,31,34,23,7,0,1,1
"0080","3500",,10113,75427,319903,406,119,86,72,77,34,15,3,0,0
"0080","3600",,3707,29850,123561,56,17,4,8,10,9,6,1,0,1
"0080","3700",,2624,20424,89426,23,6,3,3,3,2,3,2,1,0
"0080","3800",,1075,9029,38570,34,9,6,6,4,4,5,0,0,0
"0080","3900","G",0,0,0,47,19,9,5,11,1,1,0,0,1
"0080","399\",,10738,160204,568205,55,6,6,8,7,13,8,4,2,1
"0080","40--",,13083,113722,484563,555,307,80,74,52,20,14,3,3,2
"0080","4100",,413,1328,6125,31,12,4,12,2,0,1,0,0,0
"0080","4200",,5096,41804,189766,293,182,34,37,25,9,3,1,2,0
"0080","4400","A",0,0,0,6,5,1,0,0,0,0,0,0,0
"0080","4500",,166,1250,5283,13,6,3,2,1,1,0,0,0,0
"0080","4600","B",0,0,0,2,0,1,1,0,0,0,0,0,0
"0080","4700",,510,2390,10579,105,61,29,13,2,0,0,0,0,0
"0080","4800",,2668,24447,97216,79,31,6,8,18,8,7,1,0,0
"0080","4900",,2989,29985,125915,18,6,1,1,3,2,2,1,1,1
"0080","497\","G",0,0,0,8,4,1,0,1,0,1,0,0,1
"0080","50--",,18510,145668,624747,1326,635,279,207,143,37,20,4,0,1
"0080","5000",,10597,76510,335963,943,462,206,149,94,21,10,1,0,0
"0080","5100","H",0,0,0,357,170,71,52,43,13,7,1,0,0
"0080","519\","H",0,0,0,26,3,2,6,6,3,3,2,0,1
"0080","52--",,62716,188686,838515,3896,1520,1005,639,463,186,62,16,4,1
"0080","5200",,3694,16824,69817,165,59,41,27,22,7,6,3,0,0
"0080","5300",,5974,14622,65348,83,20,19,5,7,7,19,5,1,0
"0080","5400",,8519,27409,118990,376,133,116,59,23,23,19,1,2,0
"0080","5500",,5821,27020,123808,513,170,172,107,40,22,2,0,0,0
"0080","5600","H",0,0,0,340,129,131,54,26,0,0,0,0,0
"0080","5700",,2001,8059,32926,258,116,90,39,9,3,1,0,0,0
"0080","5800",,22680,40204,177780,1223,439,191,197,275,107,12,2,0,0
"0080","5900",,7123,22877,101610,844,427,217,135,49,12,3,1,0,0
"0080","599\","H",0,0,0,94,27,28,16,12,5,0,4,1,1
"0080","60--",,12750,83779,336742,1304,765,290,160,59,15,9,4,2,0
"0080","6000",,5227,31861,122351,265,67,104,69,12,4,4,4,1,0
"0080","6100",,569,3813,14135,80,31,30,17,2,0,0,0,0,0
"0080","6200",,521,8099,27673,79,52,13,8,5,1,0,0,0,0
"0080","6300","H",0,0,0,117,61,13,17,18,3,4,0,1,0
"0080","6400",,1259,7889,34061,319,258,40,12,7,2,0,0,0,0
"0080","6500",,2393,11963,56032,406,270,86,30,15,4,1,0,0,0
"0080","6700",,227,2085,10289,35,25,3,6,0,1,0,0,0,0
"0080","679\","A",0,0,0,3,1,1,1,0,0,0,0,0,0
"0080","70--",,83630,389630,1778717,5933,3323,1301,646,411,123,96,19,9,5
"0080","7000",,1995,4630,21037,74,31,10,12,9,5,7,0,0,0
"0080","7200",,3922,9983,43333,573,308,152,80,30,1,1,1,0,0
"0080","7300",,15704,58297,263454,871,490,138,96,81,31,26,8,1,0
"0080","7500",,2636,10579,46628,467,264,130,50,23,0,0,0,0,0
"0080","7600",,1213,6285,28035,193,123,38,20,9,2,1,0,0,0
"0080","7800",,665,1456,5977,107,53,36,10,8,0,0,0,0,0
"0080","7900",,3958,10749,57277,239,138,36,28,23,7,4,2,1,0
"0080","8000",,29403,180607,844024,1285,679,333,134,65,26,38,2,3,5
"0080","8100",,1688,14192,64709,349,270,53,13,8,2,3,0,0,0
