"MSA","SIC","EMPFLAG","EMP","QP1","AP","EST","N1_4","N5_9","N10_19","N20_49","N50_99","N100_249","N250_499","N500_999","N1000"
"0040","----",,47034,210833,906810,3535,1924,716,425,297,112,48,7,2,4
"0040","07--",,204,540,2597,52,37,8,7,0,0,0,0,0,0
"0040","0700",,204,540,2597,52,37,8,7,0,0,0,0,0,0
"0040","10--",,1500,10329,46142,153,100,30,10,5,6,1,1,0,0
"0040","1000","A",0,0,0,1,1,0,0,0,0,0,0,0,0
"0040","1300",,1331,9004,39235,146,97,30,9,4,4,1,1,0,0
"0040","1400","B",0,0,0,5,2,0,1,1,1,0,0,0,0
"0040","149\","B",0,0,0,1,0,0,0,0,1,0,0,0,0
"0040","15--",,2438,12157,58448,255,142,47,34,25,4,3,0,0,0
"0040","1500","E",0,0,0,60,43,10,4,3,0,0,0,0,0
"0040","1600",,705,3629,18404,19,6,2,1,7,0,3,0,0,0
"0040","1700",,1450,6967,31505,175,93,34,29,15,4,0,0,0,0
"0040","179\","A",0,0,0,1,0,1,0,0,0,0,0,0,0
"0040","20--",,3172,19367,79208,114,42,22,21,11,7,10,1,0,0
"0040","2000",,752,4083,18407,11,2,2,1,2,1,2,1,0,0
"0040","2300",,225,718,2844,7,2,1,1,1,1,1,0,0,0
"0040","2400","A",0,0,0,1,0,1,0,0,0,0,0,0,0
"0040","2500",,14,61,363,3,1,2,0,0,0,0,0,0,0
"0040","2700",,463,2832,11616,21,6,5,4,4,1,1,0,0,0
"0040","2800","A",0,0,0,2,2,0,0,0,0,0,0,0,0
"0040","2900","C",0,0,0,4,2,1,0,0,0,1,0,0,0
"0040","3000","C",0,0,0,4,2,0,1,0,1,0,0,0,0
"0040","3100",,8,22,104,3,3,0,0,0,0,0,0,0,0
"0040","3200",,84,472,2547,5,0,3,1,1,0,0,0,0,0
"0040","3400",,750,4575,17965,14,4,2,2,1,2,3,0,0,0
"0040","3500",,458,2943,12588,23,11,3,6,0,1,2,0,0,0
"0040","3600","A",0,0,0,1,0,0,1,0,0,0,0,0,0
"0040","3700",,73,419,1710,5,1,0,3,1,0,0,0,0,0
"0040","3800","A",0,0,0,2,1,1,0,0,0,0,0,0,0
"0040","3900",,54,288,1546,8,5,1,1,1,0,0,0,0,0
"0040","40--",,2326,16511,65660,147,73,20,20,19,13,2,0,0,0
"0040","4100",,130,466,1766,4,0,0,1,2,1,0,0,0,0
"0040","4200",,735,3963,16857,69,38,11,12,5,2,1,0,0,0
"0040","4500",,121,738,2955,8,4,0,2,2,0,0,0,0,0
"0040","4700",,99,413,2011,12,7,4,0,0,1,0,0,0,0
"0040","4800",,706,4617,19607,34,13,3,4,9,5,0,0,0,0
"0040","4900",,524,6239,22012,17,9,1,1,1,4,1,0,0,0
"0040","497\",,11,75,452,3,2,1,0,0,0,0,0,0,0
"0040","50--",,2419,13831,58956,266,133,61,44,20,8,0,0,0,0
"0040","5000",,1326,7886,33557,181,89,49,30,12,1,0,0,0,0
"0040","5100","G",0,0,0,82,42,12,14,8,6,0,0,0,0
"0040","519\","B",0,0,0,3,2,0,0,0,1,0,0,0,0
"0040","52--",,11687,37530,156153,893,434,200,119,90,31,17,2,0,0
"0040","5200",,603,2648,10136,34,13,10,6,1,3,1,0,0,0
"0040","5300",,1739,5413,21553,25,6,7,1,1,2,7,1,0,0
"0040","5400",,1240,4301,18085,80,42,17,9,7,1,3,1,0,0
"0040","5500",,1576,8876,36752,164,101,34,12,13,0,4,0,0,0
"0040","5600",,479,1116,4347,71,31,21,16,3,0,0,0,0,0
"0040","5700",,450,1999,8134,69,42,15,5,7,0,0,0,0,0
"0040","5800",,4251,8372,36751,228,69,37,47,50,24,1,0,0,0
"0040","5900",,1204,4116,17228,211,123,58,23,6,0,1,0,0,0
"0040","599\",,145,689,3167,11,7,1,0,2,1,0,0,0,0
"0040","60--",,2705,14625,63497,340,234,53,23,21,5,3,1,0,0
"0040","6000",,875,4607,17317,44,9,13,8,11,1,2,0,0,0
"0040","6100",,101,669,2887,27,18,8,1,0,0,0,0,0,0
"0040","6200",,115,1351,6038,21,15,1,4,1,0,0,0,0,0
"0040","6300",,160,1273,5959,23,16,2,1,4,0,0,0,0,0
"0040","6400",,644,2797,12254,72,57,9,2,3,0,0,1,0,0
"0040","6500",,559,2211,9722,130,104,17,5,2,1,1,0,0,0
"0040","6700",,251,1717,9320,23,15,3,2,0,3,0,0,0,0
"0040","70--",,20574,85913,376069,1298,712,275,147,106,38,12,2,2,4
"0040","7000",,563,1208,4816,31,14,3,6,4,3,1,0,0,0
"0040","7200",,651,2036,7533,99,56,26,11,4,2,0,0,0,0
"0040","7300",,2522,9735,40174,155,82,29,21,13,7,2,0,1,0
"0040","7500",,762,4095,18439,123,73,36,5,8,0,1,0,0,0
"0040","7600",,567,3231,14627,51,33,9,2,5,1,1,0,0,0
"0040","7800",,185,286,1208,12,3,2,4,2,1,0,0,0,0
"0040","7900",,517,1258,6500,59,30,12,9,6,2,0,0,0,0
"0040","8000",,9233,44375,194722,305,161,71,30,18,14,6,1,1,3
"0040","8100",,236,1585,7348,71,59,6,5,1,0,0,0,0,0
"0040","8200",,1994,7267,30632,15,4,1,3,4,1,0,1,0,1
"0040","8300",,1069,2757,12380,72,22,13,17,17,3,0,0,0,0
