"MSA","SIC","EMPFLAG","EMP","QP1","AP","EST","N1_4","N5_9","N10_19","N20_49","N50_99","N100_249","N250_499","N500_999","N1000"
"0040","----",,44958,197676,848625,3528,1936,725,432,282,97,45,6,2,3
"0040","07--",,247,579,2978,52,32,11,9,0,0,0,0,0,0
"0040","0700",,247,579,2978,52,32,11,9,0,0,0,0,0,0
"0040","0800",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","0900",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","098\",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","10--",,1563,9938,42155,156,102,29,11,6,6,1,1,0,0
"0040","1000","A",0,0,0,1,1,0,0,0,0,0,0,0,0
"0040","1200",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","1300",,1442,9055,38213,151,101,29,10,3,6,1,1,0,0
"0040","1400","B",0,0,0,3,0,0,1,2,0,0,0,0,0
"0040","149\","B",0,0,0,1,0,0,0,1,0,0,0,0,0
"0040","15--",,2547,12004,53051,261,146,52,33,20,7,3,0,0,0
"0040","1500","E",0,0,0,66,48,9,7,1,1,0,0,0,0
"0040","1600",,620,3048,13481,18,4,3,2,5,2,2,0,0,0
"0040","1700",,1596,7349,32210,176,93,40,24,14,4,1,0,0,0
"0040","179\","A",0,0,0,1,1,0,0,0,0,0,0,0,0
"0040","20--",,3651,22273,92045,111,41,20,22,11,4,11,2,0,0
"0040","2000",,708,4082,17155,12,3,2,1,3,0,3,0,0,0
"0040","2100",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","2200",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","2300",,251,585,2645,6,2,0,2,1,0,1,0,0,0
"0040","2400",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","2500","B",0,0,0,4,1,2,1,0,0,0,0,0,0
"0040","2600",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","2700",,532,3266,13537,22,7,6,3,4,0,2,0,0,0
"0040","2800","A",0,0,0,2,1,0,1,0,0,0,0,0,0
"0040","2900","C",0,0,0,4,2,1,0,0,0,1,0,0,0
"0040","3000","C",0,0,0,5,2,2,0,0,1,0,0,0,0
"0040","3100","A",0,0,0,3,2,1,0,0,0,0,0,0,0
"0040","3200","B",0,0,0,4,1,1,1,1,0,0,0,0,0
"0040","3300","A",0,0,0,1,0,0,1,0,0,0,0,0,0
"0040","3400",,777,4254,17466,12,3,1,3,0,1,3,1,0,0
"0040","3500",,377,2410,10294,18,9,2,4,0,2,1,0,0,0
"0040","3600","A",0,0,0,2,1,0,1,0,0,0,0,0,0
"0040","3700",,538,4140,16164,7,2,1,2,1,0,0,1,0,0
"0040","3800","A",0,0,0,2,1,1,0,0,0,0,0,0,0
"0040","3900","B",0,0,0,6,4,0,2,0,0,0,0,0,0
"0040","399\","B",0,0,0,1,0,0,0,1,0,0,0,0,0
"0040","40--",,2174,13301,57997,146,69,20,23,23,10,1,0,0,0
"0040","4100",,131,469,1740,4,0,1,0,2,1,0,0,0,0
"0040","4200",,767,4319,19321,69,39,10,12,6,1,1,0,0,0
"0040","4400",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","4500",,118,749,3017,7,3,0,2,2,0,0,0,0,0
"0040","4600","A",0,0,0,1,1,0,0,0,0,0,0,0,0
"0040","4700",,109,461,1992,12,7,3,1,0,1,0,0,0,0
"0040","4800",,702,4114,18878,33,10,4,5,9,5,0,0,0,0
"0040","4900",,328,3134,12623,18,8,2,2,4,2,0,0,0,0
"0040","497\","A",0,0,0,2,1,0,1,0,0,0,0,0,0
"0040","50--",,2359,12922,53643,270,134,67,46,16,6,1,0,0,0
"0040","5000",,1382,7451,30786,183,89,52,31,9,2,0,0,0,0
"0040","5100","F",0,0,0,84,44,14,15,7,3,1,0,0,0
"0040","519\","B",0,0,0,3,1,1,0,0,1,0,0,0,0
"0040","52--",,10674,34016,145461,879,424,209,116,90,24,15,1,0,0
"0040","5200",,366,1722,8893,30,12,11,4,1,1,1,0,0,0
"0040","5300",,1531,4928,19797,25,7,6,0,2,2,8,0,0,0
"0040","5400",,1260,4266,19111,82,43,16,9,9,3,1,1,0,0
"0040","5500",,1440,7694,33548,161,96,35,16,10,1,3,0,0,0
"0040","5600",,512,1133,4485,71,29,28,10,4,0,0,0,0,0
"0040","5700",,424,1804,7184,68,38,18,8,3,1,0,0,0,0
"0040","5800",,3757,7468,32075,223,71,38,47,51,15,1,0,0,0
"0040","5900",,1233,4253,17112,208,123,54,22,8,0,1,0,0,0
"0040","599\",,151,748,3256,11,5,3,0,2,1,0,0,0,0
"0040","60--",,2200,11412,52009,331,227,52,26,21,3,2,0,0,0
"0040","6000",,794,4102,15922,40,6,12,11,9,1,1,0,0,0
"0040","6100",,104,630,2807,26,18,7,1,0,0,0,0,0,0
"0040","6200",,112,1124,4909,25,18,3,3,1,0,0,0,0,0
"0040","6300",,139,1112,4536,20,14,1,1,4,0,0,0,0,0
"0040","6400",,271,1507,9316,70,59,6,1,4,0,0,0,0,0
"0040","6500",,499,1710,7108,126,96,20,7,2,1,0,0,0,0
"0040","6700",,281,1227,7411,24,16,3,2,1,1,1,0,0,0
"0040","679\",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0040","70--",,19520,81181,348982,1288,727,265,146,95,37,11,2,2,3
"0040","7000",,399,822,4120,31,15,3,5,6,2,0,0,0,0
"0040","7200",,692,1852,7577,98,55,23,14,4,2,0,0,0,0
"0040","7300",,1960,7842,34097,169,100,35,14,12,7,0,0,1,0
"0040","7500",,667,3871,15364,117,69,33,7,7,1,0,0,0,0
"0040","7600",,380,1998,8518,62,44,10,2,5,1,0,0,0,0
"0040","7800",,174,278,1162,11,2,2,4,2,1,0,0,0,0
"0040","7900",,541,1320,7601,63,31,14,11,5,2,0,0,0,0
"0040","8000",,9090,43935,188108,290,162,63,24,17,12,7,2,1,2
"0040","8100",,234,1497,7077,64,52,7,3,2,0,0,0,0,0
"0040","8200",,1958,6864,28379,20,9,1,3,3,2,1,0,0,1
"0040","8300",,1052,2852,11679,73,20,16,22,11,3,1,0,0,0
"0040","8400","B",0,0,0,3,1,1,1,0,0,0,0,0,0
"0040","8600",,1756,4064,16228,165,82,36,25,17,3,2,0,0,0
"0040","8700",,533,3568,17011,110,79,18,8,4,1,0,0,0,0
"0040","8900","A",0,0,0,6,4,2,0,0,0,0,0,0,0
"0040","899\","B",0,0,0,6,2,1,3,0,0,0,0,0,0
"0040","99--",,23,50,304,34,34,0,0,0,0,0,0,0,0
"0080","----",,283141,1826907,7378796,16730,8321,3675,2203,1507,574,342,61,32,15
"0080","07--",,1595,5916,38433,343,261,51,18,9,1,3,0,0,0
"0080","0700","G",0,0,0,341,260,51,18,9,1,2,0,0,0
"0080","0800","A",0,0,0,1,1,0,0,0,0,0,0,0,0
"0080","0900",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0080","098\","C",0,0,0,1,0,0,0,0,0,1,0,0,0
"0080","10--",,376,2355,11220,53,27,12,8,6,0,0,0,0,0
"0080","1000",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0080","1200","A",0,0,0,1,0,1,0,0,0,0,0,0,0
"0080","1300",,171,1180,4636,26,18,1,3,4,0,0,0,0,0
"0080","1400","C",0,0,0,26,9,10,5,2,0,0,0,0,0
"0080","149\",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0080","15--",,15688,100216,413453,1640,1036,333,155,89,17,8,0,1,1
"0080","1500","H",0,0,0,460,312,86,38,18,5,1,0,0,0
"0080","1600",,5348,35432,118394,66,23,15,11,12,2,2,0,0,1
"0080","1700",,7833,48378,219941,1113,700,232,106,59,10,5,0,1,0
"0080","179\","A",0,0,0,1,1,0,0,0,0,0,0,0,0
"0080","20--",,67499,681636,2515042,1410,381,240,234,258,153,110,18,12,4
"0080","2000",,2391,15543,68281,30,7,7,2,5,3,4,1,1,0
"0080","2100",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0080","2200","E",0,0,0,12,5,3,1,0,2,1,0,0,0
"0080","2300","E",0,0,0,24,12,3,5,3,0,1,0,0,0
"0080","2400",,312,1758,7636,26,13,7,3,1,2,0,0,0,0
"0080","2500","F",0,0,0,17,7,4,2,2,1,0,1,0,0
"0080","2600",,1341,14797,51870,18,3,3,0,6,2,3,0,1,0
"0080","2700",,4433,31720,132005,155,57,31,30,15,12,8,1,1,0
"0080","2800",,3008,25499,102135,55,14,10,5,9,8,7,1,1,0
"0080","2900",,141,739,5358,10,3,3,2,1,1,0,0,0,0
"0080","3000",,10700,71113,290707,187,35,13,20,60,23,32,3,1,0
"0080","3100",,0,0,0,0,0,0,0,0,0,0,0,0,0
"0080","3200",,729,5825,25271,45,17,4,13,8,2,1,0,0,0
"0080","3300",,2349,16453,69690,39,9,4,6,6,6,7,0,1,0
"0080","3400",,8244,102860,374941,163,29,35,32,33,20,11,1,1,1
"0080","3500",,10514,80505,336113,421,118,87,82,80,35,16,3,0,0
"0080","3600",,3951,32328,127753,51,12,6,6,10,10,4,1,1,1
"0080","3700",,2960,25506,103777,25,7,5,3,0,2,5,1,2,0
"0080","3800",,1135,10397,40049,34,10,4,7,4,4,5,0,0,0
"0080","3900","G",0,0,0,43,15,9,8,7,2,1,0,0,1
"0080","399\",,11868,222980,675960,55,8,2,7,8,18,4,5,2,1
"0080","40--",,13719,130576,510253,571,306,88,71,68,15,13,4,4,2
"0080","4100",,437,1872,6945,31,9,6,9,6,0,1,0,0,0
"0080","4200",,6144,51813,218948,298,178,37,30,37,7,5,1,3,0
"0080","4400","A",0,0,0,7,6,1,0,0,0,0,0,0,0
"0080","4500","C",0,0,0,13,4,4,3,1,1,0,0,0,0
"0080","4600","A",0,0,0,2,1,1,0,0,0,0,0,0,0
"0080","4700",,542,2711,12001,109,66,27,14,2,0,0,0,0,0
"0080","4800",,2536,25440,94182,87,33,10,13,20,5,4,2,0,0
"0080","4900",,2544,29827,115571,17,6,1,2,2,1,2,1,1,1
