"msa","name_msa","fipstate","fipscty","name_county"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","089","DeKalb County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","097","Douglas County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","113","Fayette County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","117","Forsyth County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","121","Fulton County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","135","Gwinnett County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","143","Haralson County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","149","Heard County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","151","Henry County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","159","Jasper County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","171","Lamar County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","199","Meriwether County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","211","Morgan County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","217","Newton County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","223","Paulding County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","227","Pickens County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","231","Pike County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","247","Rockdale County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","255","Spalding County, Georgia"
"12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","13","297","Walton County, Georgia"
"12100","Atlantic City-Hammonton, NJ Metro Area","34","001","Atlantic County, New Jersey"
"12140","Auburn, IN Micro Area","18","033","DeKalb County, Indiana"
"12180","Auburn, NY Micro Area","36","011","Cayuga County, New York"
"12220","Auburn-Opelika, AL Metro Area","01","081","Lee County, Alabama"
"12260","Augusta-Richmond County, GA-SC Metro Area","13","033","Burke County, Georgia"
"12260","Augusta-Richmond County, GA-SC Metro Area","13","073","Columbia County, Georgia"
"12260","Augusta-Richmond County, GA-SC Metro Area","13","181","Lincoln County, Georgia"
"12260","Augusta-Richmond County, GA-SC Metro Area","13","189","McDuffie County, Georgia"
"12260","Augusta-Richmond County, GA-SC Metro Area","13","245","Richmond County, Georgia"
"12260","Augusta-Richmond County, GA-SC Metro Area","45","003","Aiken County, South Carolina"
"12260","Augusta-Richmond County, GA-SC Metro Area","45","037","Edgefield County, South Carolina"
"12300","Augusta-Waterville, ME Micro Area","23","011","Kennebec County, Maine"
"12380","Austin, MN Micro Area","27","099","Mower County, Minnesota"
"12420","Austin-Round Rock, TX Metro Area","48","021","Bastrop County, Texas"
"12420","Austin-Round Rock, TX Metro Area","48","055","Caldwell County, Texas"
"12420","Austin-Round Rock, TX Metro Area","48","209","Hays County, Texas"
"12420","Austin-Round Rock, TX Metro Area","48","453","Travis County, Texas"
"12420","Austin-Round Rock, TX Metro Area","48","491","Williamson County, Texas"
"12460","Bainbridge, GA Micro Area","13","087","Decatur County, Georgia"
"12540","Bakersfield, CA Metro Area","06","029","Kern County, California"
"12580","Baltimore-Columbia-Towson, MD Metro Area","24","003","Anne Arundel County, Maryland"
"12580","Baltimore-Columbia-Towson, MD Metro Area","24","005","Baltimore County, Maryland"
"12580","Baltimore-Columbia-Towson, MD Metro Area","24","013","Carroll County, Maryland"
"12580","Baltimore-Columbia-Towson, MD Metro Area","24","025","Harford County, Maryland"
"12580","Baltimore-Columbia-Towson, MD Metro Area","24","027","Howard County, Maryland"
"12580","Baltimore-Columbia-Towson, MD Metro Area","24","035","Queen Anne's County, Maryland"
"12580","Baltimore-Columbia-Towson, MD Metro Area","24","510","Baltimore city, Maryland"
"12620","Bangor, ME Metro Area","23","019","Penobscot County, Maine"
"12660","Baraboo, WI Micro Area","55","111","Sauk County, Wisconsin"
"12680","Bardstown, KY Micro Area","21","179","Nelson County, Kentucky"
"12700","Barnstable Town, MA Metro Area","25","001","Barnstable County, Massachusetts"
"12740","Barre, VT Micro Area","50","023","Washington County, Vermont"
"12780","Bartlesville, OK Micro Area","40","147","Washington County, Oklahoma"
"12820","Bastrop, LA Micro Area","22","067","Morehouse Parish, Louisiana"
"12860","Batavia, NY Micro Area","36","037","Genesee County, New York"
"12900","Batesville, AR Micro Area","05","063","Independence County, Arkansas"
"12940","Baton Rouge, LA Metro Area","22","005","Ascension Parish, Louisiana"
"12940","Baton Rouge, LA Metro Area","22","033","East Baton Rouge Parish, Louisiana"
"12940","Baton Rouge, LA Metro Area","22","037","East Feliciana Parish, Louisiana"
"12940","Baton Rouge, LA Metro Area","22","047","Iberville Parish, Louisiana"
"12940","Baton Rouge, LA Metro Area","22","063","Livingston Parish, Louisiana"
"12940","Baton Rouge, LA Metro Area","22","077","Pointe Coupee Parish, Louisiana"
"12940","Baton Rouge, LA Metro Area","22","091","St. Helena Parish, Louisiana"
"12940","Baton Rouge, LA Metro Area","22","121","West Baton Rouge Parish, Louisiana"
"12940","Baton Rouge, LA Metro Area","22","125","West Feliciana Parish, Louisiana"
"12980","Battle Creek, MI Metro Area","26","025","Calhoun County, Michigan"
"13020","Bay City, MI Metro Area","26","017","Bay County, Michigan"
"13060","Bay City, TX Micro Area","48","321","Matagorda County, Texas"
"13100","Beatrice, NE Micro Area","31","067","Gage County, Nebraska"
"13140","Beaumont-Port Arthur, TX Metro Area","48","199","Hardin County, Texas"
"13140","Beaumont-Port Arthur, TX Metro Area","48","245","Jefferson County, Texas"
"13140","Beaumont-Port Arthur, TX Metro Area","48","351","Newton County, Texas"
"13140","Beaumont-Port Arthur, TX Metro Area","48","361","Orange County, Texas"
"13180","Beaver Dam, WI Micro Area","55","027","Dodge County, Wisconsin"
"13220","Beckley, WV Metro Area","54","019","Fayette County, West Virginia"
