msa98	mmurd98	mrape98	mrobt98	mrobg98	massg98	massa98	mburg98	mlarc98	mmoto98	mpop98	mpopcm98	mpopg398	mpopl398	mpoprp98	mpopgn98	mpopna98	mct98	mctna98	mctcm98	mctg398	mctl398	mrmurd98	mrrobt98	mrassa98	mrburg98	mrlarc98	mrmoto98	mrrape98	mrrobg98	mrassg98
0	14286.96391	73829.0247	421235.7674	136492.7456	132660.2912	819006.2267	1881464.246	6015092.321	1128975.954	216297640	189949434	7709213	6710127	200405454	175389025	11928866	7127	830	5192	531	574	7	206.1	400.7	920.6	2943.3	552.4	36.8	77.8	75.6
40	4.950365347	56.48379961	128.719426	37.63270357	137.6896452	382.4064511	1346.631045	3751.6502	222.8359291	123462	123462	0	0	123462	123462	0	4	0	4	0	0	4	104.3	309.7	1090.7	3038.7	180.5	45.7	30.5	111.5
80	30.32273598	352.3773121	1223.142901	23	12	1440.929745	6274.584146	20333.9216	3590.447136	683845	256741	81395	345709	683845	200281	0	27	0	18	1	8	4.4	178.9	210.7	917.5	2973.5	525	51.5	11.5	6
120	10	39	292.4545455	99	100	344.5636364	2070.024242	4538.787879	501.5151515	120126	117307	2819	0	120126	117307	0	5	0	3	2	0	8.3	243.5	286.8	1723.2	3778.4	417.5	32.5	84.4	85.2
160	14.96260443	190.2291337	819.2355712	106	77	1504.217707	5804.156174	18636.38823	1104.270549	878260	769102	56855	52303	878260	769102	0	42	0	37	4	1	1.7	93.3	171.3	660.9	2122	125.7	21.7	13.8	10
200	59.11885616	335.4846419	2025.456531	1020	1392	4913.521547	11025.82706	31887.27321	7607.321913	677816	619473	19037	39306	677816	619473	0	14	0	8	3	3	8.7	298.8	724.9	1626.7	4704.4	1122.3	49.5	164.7	224.7
220	10.50807614	71.43729279	261.0244687	17	76	725.8166392	2114.680782	5079.538799	359.9472749	126985	120564	0	6421	126985	74162	0	8	0	4	0	4	8.3	205.6	571.6	1665.3	4000.1	283.5	56.3	22.9	102.5
240	23.11001728	131.5829507	602.053994	62	34	915.5275199	3374.909337	12618.74122	1258.514233	612865	477089	88868	46908	612865	374792	0	52	0	30	16	6	3.8	98.2	149.4	550.7	2059	205.3	21.5	16.5	9.1
280	2	30	73	15	17	160.0909091	878.6363636	2236.545455	215	130716	129325	1391	0	130716	129325	0	13	0	12	1	0	1.5	55.8	122.5	672.2	1711	164.5	23	11.6	13.1
320	14	67	251	98	337	1013	2136	9843	787	211603	211603	0	0	211603	211603	0	5	0	5	0	0	6.6	118.6	478.7	1009.4	4651.6	371.9	31.7	46.3	159.3
380	20	190	385	184	203	1177	1704	9819	1335	263677	263677	0	0	263677	263677	0	3	0	3	0	0	7.6	146	446.4	646.2	3723.9	506.3	72.1	69.8	77
440	16.3082636	254.4834085	352.3679611	81	163	1204.583433	3196.527455	12172.24409	1335.428015	541788	521403	10871	9514	541788	410768	0	27	0	22	2	3	3	65	222.3	590	2246.7	246.5	47	19.7	39.7
450	13	57	236	107	235	632	1688	3939	337	117987	117987	0	0	117987	117987	0	6	0	6	0	0	11	200	535.7	1430.7	3338.5	285.6	48.3	90.7	199.2
460	0	0	0	0	0	0	0	0	0	345727	0	0	0	0	0	345727	18	18	0	0	0									
480	8.205590219	39.45006403	217.4378327	68	64	727.6377661	1989.626508	5090.336508	611.8192924	214727	194902	0	19825	214727	194902	0	11	0	7	0	4	3.8	101.3	338.9	926.6	2370.6	284.9	18.4	34.9	32.8
500	5.414014328	47.29163138	210.0664967	59	99.00209132	357.1064814	1460.300008	6692.745801	682.3073946	141410	115827	2105	23478	141410	115827	0	9	0	5	2	2	3.8	148.6	252.5	1032.7	4732.9	482.5	33.4	50.9	85.5
520	344.758681	1160.271727	9837.484684	4762	3493	14288.68133	38928.0327	132867.945	28684.88435	3702517	3569868	100545	32104	3702517	2895567	0	105	0	69	28	8	9.3	265.7	385.9	1051.4	3588.6	774.7	31.3	164.5	120.6
560	25	146	657	163	107	971	3892	16053	817	337270	337270	0	0	337270	337270	0	33	0	33	0	0	7.4	194.8	287.9	1154	4759.7	242.2	43.3	48.3	31.7
580	6	48	108	63	123	755	1312	4122	181	99254	99254	0	0	99254	99254	0	3	0	3	0	0	6	108.8	760.7	1321.9	4153	182.4	48.4	63.5	123.9
600	44.06022068	208.8859343	776.8317676	295	379	1051.231941	4646.941325	15993.90545	2370.938638	466660	454509	11373	778	466660	454509	0	20	0	15	3	2	9.4	166.5	225.3	995.8	3427.3	508.1	44.8	64.9	83.4
640	50	373	1259	34	149	2815	10285	36884	3712	1088710	1088710	0	0	1088710	513496	0	32	0	32	0	0	4.6	115.6	258.6	944.7	3387.9	341	34.3	6.6	29
680	55.67050002	170.2860232	944.8852161	326	366	2634.517248	7691.134996	16292.91349	3293.070041	636378	623377	0	13001	636378	623377	0	13	0	11	0	2	8.7	148.5	414	1208.6	2560.3	517.5	26.8	52.3	58.7
720	362.1818182	923.0909091	10637.18182	5080	2700	14281.27273	27045.36364	86722	13686.63636	2494963	2376002	118961	0	2494963	2376002	0	17	0	16	1	0	14.5	426.3	572.4	1084	3475.9	548.6	37	213.8	113.6
733	0.014466932	23.12231133	34.1617666	5	6	92.57341658	887.5963478	3564.472193	231.6884944	143531	143001	0	530	143531	143001	0	14	0	13	0	1	0	23.8	64.5	618.4	2483.4	161.4	16.1	3.5	4.2
743	3.061678237	36.01197996	52.5196702	9	43	1208.658809	1592.910544	4237.916136	379.4190012	206100	201147	0	4953	206100	201147	0	15	0	14	0	1	1.5	25.5	586.4	772.9	2056.2	184.1	17.5	4.5	21.4
760	80.31185086	205.2930816	1696.047137	1192	563	2190.880402	9297.227486	29745.3021	3841.413778	572392	555813	0	16579	572392	555813	0	14	0	11	0	3	14	296.3	382.8	1624.3	5196.7	671.1	35.9	214.5	101.3
840	24	307	591	177	196	1458	4830	11393	1636	381183	381183	0	0	381183	350562	0	18	0	18	0	0	6.3	155	382.5	1267.1	2988.9	429.2	80.5	50.5	55.9
860	4	98	91	37	41	272	1771	6015	455	156421	156421	0	0	156421	156421	0	8	0	8	0	0	2.6	58.2	173.9	1132.2	3845.4	290.9	62.7	23.7	26.2
870	12.01908422	109.2822596	134.5227475	25	67	783.8690524	1550.556151	4565.534928	431.459729	161420	160502	329	589	161420	132035	0	21	0	18	2	1	7.4	83.3	485.6	960.6	2828.4	267.3	67.7	18.9	50.7
875	31	143	1357	248	193	1975.454545	6341.090909	22318.36364	4560	1345674	1345674	0	0	1345674	1345674	0	87	0	87	0	0	2.3	100.8	146.8	471.2	1658.5	338.9	10.6	18.4	14.3
880	2	30	60	30	29	132	861	4117	477	126143	119998	0	0	119998	119998	6145	3	1	2	0	0	1.7	50	110	717.5	3430.9	397.5	25	25	24.2
920	32.66148409	138.3909543	500.5447843	64	43	626.0548231	4569.946218	12170.13135	1287.660841	346063	237492	23058	85513	346063	122923	0	12	0	9	1	2	9.4	144.6	180.9	1320.6	3516.7	372.1	40	52.1	35
960	1	29.81818182	83.72727273	2	0	298.4188419	1275.377438	5364.727273	219	252226	141826	110400	0	252226	94008	0	10	0	8	2	0	0.4	33.2	118.3	505.6	2127	86.8	11.8	2.1	0
1000	121.3294084	383.7038368	1618.89202	378	470	3144.914596	8305.80114	27677.05378	4535.857457	906749	902125	0	4624	906749	642672	0	44	0	40	0	4	13.4	178.5	346.8	916	3052.3	500.2	42.3	58.8	73.1
1010	4	44	18	2	0	99	313	2498	170	90618	90618	0	0	90618	90618	0	4	0	4	0	0	4.4	19.9	109.2	345.4	2756.6	187.6	48.6	2.2	0
1020	0	32	49	31	14	102	929	2969	230	117349	67300	50049	0	117349	67300	0	2	0	1	1	0	0	41.8	86.9	791.7	2530.1	196	27.3	46.1	20.8
1040	0	0	0	0	0	0	0	0	0	142561	0	0	0	0	0	142561	9	9	0	0	0									
1080	13	150	124	43	185	919	3044	11981	831	389633	389633	0	0	389633	389633	0	9	0	9	0	0	3.3	31.8	235.9	781.2	3074.9	213.3	38.5	11	47.5
1123	100.2886694	1519.826552	5446.490996	1059	1105	21975.57464	29271.07679	97259.62591	24096.54712	5860079	4696785	477788	226131	5400704	4545574	459375	276	35	192	32	17	1.9	100.8	406.9	542	1800.9	446.2	28.1	23.3	24.3
1125	4.758372269	164.5356985	92.1674942	27.09732175	42.69017976	488.9797325	2151.948636	8403.701167	642.2523056	266859	215543	50006	1310	266859	155119	0	8	0	5	1	2	1.8	34.5	183.2	806.4	3149.1	240.7	61.7	17.5	27.5
1145	2.033596679	61.31073384	85.60658308	28	49	441.4385235	1526.676203	4341.718716	428.3721807	229128	228298	0	830	229128	207299	0	16	0	15	0	1	0.9	37.4	192.7	666.3	1894.9	187	26.8	13.5	23.6
