msa02	mmurd02	mrape02	mrobt02	mrobg02	massg02	massa02	mburg02	mlarc02	mmoto02	mpop02	mpopcm02	mpopg302	mpopl302	mpoprp02	mpopgn02	mpopna02	mct02	mctna02	mctcm02	mctg302	mctl302	mrmurd02	mrrobt02	mrassa02	mrburg02	mrlarc02	mrmoto02	mrrape02	mrrobg02	mrassg02
0	14112.25731	74880.37086	396611.2488	140137.7567	127161.8199	752040.9442	1738841.882	5864252.453	1137337.97	231477741	214238782	4150119	5285621	219973168	198618154	7803219	7548	583	5868	391	706	6.3	177.3	336.2	777.4	2621.8	508.5	34	70.6	64
40	5	65	114	38	104	289	1423	3579	250	137921	137921	0	0	137921	137921	0	5	0	5	0	0	3.6	82.7	209.5	1031.8	2595	181.3	47.1	27.6	75.4
80	23.24719597	301.1915746	873.001685	204.9981021	68.99810214	707.3044738	5591.550282	18171.41824	2228.191351	699130	581461	606	117063	699130	581461	0	31	0	23	1	7	3.3	124.9	101.2	799.8	2599.1	318.7	43.1	35.3	11.9
120	7	50.2	231.6	110	55	270.4727273	1577.29697	4201.769697	368.1636364	126341	106340	20001	0	126341	106340	0	5	0	4	1	0	5.5	183.3	214.1	1248.4	3325.7	291.4	39.7	103.4	51.7
160	32.4	244.8	927.4909091	206	202	1998.636364	4837.345455	17087.34545	1582.963636	883939	823026	60913	0	883939	823026	0	42	0	38	4	0	3.7	104.9	226.1	547.2	1933.1	179.1	27.7	25	24.5
200	70.24662494	412.0986198	1501.606201	729	962	4662.198747	7275.280804	26004.72038	4902.798993	726846	686335	382	40129	726846	686335	0	15	0	12	1	2	9.7	206.6	641.4	1000.9	3577.7	674.5	56.7	106.2	140.2
220	18.2223582	36.25130987	228.6093241	123	277	1014.353348	2098.812635	4724.968138	383.2779284	126723	117901	5466	3356	126723	117901	0	9	0	3	3	3	14.4	180.4	800.4	1656.2	3728.6	302.5	28.6	104.3	234.9
240	20.50398859	197.9670724	587.2348853	175.3634898	114	1137.821515	3009.481062	13197.53233	1253.550012	640766	540225	11275	89266	640766	540225	0	53	0	34	2	17	3.2	91.6	177.6	469.7	2059.6	195.6	30.9	32.5	21.1
280	2.750080151	44.53735641	120.1699092	11	25	206.8989154	942.3430753	2242.818047	213.5109592	129712	102972	0	26740	129712	102972	0	14	0	6	0	8	2.1	92.6	159.5	726.5	1729.1	164.6	34.3	10.7	24.3
320	7	115	334	102	280	1099	2757	9233	1031	227555	227555	0	0	227555	227555	0	5	0	5	0	0	3.1	146.8	483	1211.6	4057.5	453.1	50.5	44.8	123
380	18	256	390	160	198	1172	1665	10020	1232	277550	277550	0	0	277550	277550	0	3	0	3	0	0	6.5	140.5	422.3	599.9	3610.2	443.9	92.2	57.6	71.3
440	18.09090909	211.4599296	292.1818182	117	151.8504866	981.7171257	3307.300269	10888.7484	1171.010768	585259	482052	103207	0	585259	482052	0	27	0	24	3	0	3.1	49.9	167.7	565.1	1860.5	200.1	36.1	24.3	31.5
450	11	52.69538752	222.9639141	103.1805287	173.4956353	492.5317543	1515.861984	4005.233154	313.5120203	113244	113244	0	0	113244	113244	0	9	0	9	0	0	9.7	196.9	434.9	1338.6	3536.8	276.8	46.5	91.1	153.2
460	2	57.27272727	45	11	15	283.9858012	1010.538178	7083.676012	310.6057608	363544	321483	42061	0	363544	321483	0	24	0	22	2	0	0.6	12.4	78.1	278	1948.5	85.4	15.8	3.4	4.7
480	21.47297931	57.38301855	232.4214427	93	51	487.6687764	1838.897733	5040.979286	770.7519902	233567	221795	9586	2186	233567	221795	0	11	0	6	2	3	9.2	99.5	208.8	787.3	2158.3	330	24.6	41.9	23
