msa07	mmurd07	mrape07	mrobt07	mrobg07	massg07	massa07	mburg07	mlarc07	mmoto07	mpop07	mpopcm07	mpopg307	mpopl307	mpoprp07	mpopgn07	mpopna07	mct07	mctna07	mctcm07	mctg307	mctl307	mrmurd07	mrrobt07	mrassa07	mrburg07	mrlarc07	mrmoto07	mrrape07	mrrobg07	mrassg07
0	14803.38267	69285.09744	420268.9954	155624.0078	143219.3946	717571.7398	1784222.219	5423599.463	994020.9912	243724026	228294732	3918468	4047773	232709725	212794072	7463053	7723	497	6345	369	512	6.3	177.9	303.7	755.2	2295.6	420.7	29.8	73.1	67.3
40	9	95	172	55	138	424	1459	3512	317	130451	130451	0	0	130451	130451	0	5	0	5	0	0	6.9	131.9	325	1118.4	2692.2	243	72.8	42.2	105.8
80	25.72206998	316.0813552	968.8741527	340	136	930.7781427	5887.845231	15993.69995	1862.71309	699760	619555	3700	76505	699760	619555	0	33	0	23	1	9	3.7	138.5	133	841.4	2285.6	266.2	45.2	54.9	22
120	12	38	222	94	143	425	1868	4476	462	128340	127366	974	0	128340	127366	0	5	0	4	1	0	9.4	173	331.2	1455.5	3487.6	360	29.6	73.8	112.3
160	14.02948868	186.2609918	906.2893673	208	214	1905.673711	4351.955007	16373.84845	1138.686278	901036	894789	4625	1622	901036	894789	0	41	0	38	2	1	1.6	100.6	211.5	483	1817.2	126.4	20.7	23.2	23.9
200	67	409.2	1670.2	814	929	4790.4	7885.8	22885	6202.6	809673	802473	7200	0	809673	802473	0	13	0	12	1	0	8.3	206.3	591.6	973.9	2826.4	766.1	50.5	101.4	115.8
220	9.747687522	44.28448447	204.8442035	68	307	1138.699851	1667.418472	4423.299807	401.9153836	130274	121413	199	8662	130274	121413	0	9	0	3	1	5	7.5	157.2	874.1	1279.9	3395.4	308.5	34	56	252.9
240	34.603169	108.2136655	860.9515452	327	128.6145263	971.550093	3109.086978	13941.45786	1126.355555	695114	635410	37108	22596	695114	635410	0	60	0	44	12	4	5	123.9	139.8	447.3	2005.6	162	15.6	51.5	20.2
280	3.225694543	33.5213484	99.88428062	22	23	238.5949862	694.0917608	1992.674294	136.3391204	125800	110467	6878	8455	125800	110467	0	14	0	10	2	2	2.6	79.4	189.7	551.7	1584	108.4	26.6	19.9	20.8
320	19	136	436	110	353	1321	2770	8151	1321	234829	234829	0	0	234829	234829	0	5	0	5	0	0	8.1	185.7	562.5	1179.6	3471	562.5	57.9	46.8	150.3
380	22	264	458	119	298	1782	1548	9268	1351	303996	303996	0	0	303996	303996	0	4	0	4	0	0	7.2	150.7	586.2	509.2	3048.7	444.4	86.8	39.1	98
440	10	239.6433345	298.6433345	114.6433345	146	1025.146676	3215.073661	9658.766775	898.7551562	635358	618368	16990	0	635358	618368	0	28	0	25	3	0	1.6	47	161.3	506	1520.2	141.5	37.7	18.5	23.6
450	12.40799572	45.94599189	277.3340272	140.7764268	148.62424	504.3871582	1760.912958	3934.969546	458.4623506	113264	51321	0	61943	113264	51321	0	10	0	8	0	2	11	244.9	445.3	1554.7	3474.2	404.8	40.6	274.3	289.6
460	3.208761416	76.55629858	76.63958454	23	22	449.5424298	1566.354808	7928.316472	326.2730375	381828	364303	17525	0	381828	364303	0	25	0	24	1	0	0.8	20.1	117.7	410.2	2076.4	85.5	20	6.3	6
480	16.18851759	53.75201004	274.6902763	119	86	466.0333919	2226.493291	4700.478893	684.7106783	247169	244981	0	2188	247169	244981	0	11	0	8	0	3	6.5	111.1	188.5	900.8	1901.7	277	21.7	48.6	35.1
500	10.98112751	50.75281915	191.436166	60	42	382.613152	1685.37053	5302.518585	536.8915827	174124	142644	1514	29966	174124	142644	0	7	0	3	2	2	6.3	109.9	219.7	967.9	3045.3	308.3	29.1	42.1	29.4
520	456.7391923	1055.189975	12229.40405	7271.025792	3652.051583	14412.74229	51221.12095	119867.6316	28607.86223	5119702	4984425	103234	32043	5119702	4318236	0	109	0	91	10	8	8.9	238.9	281.5	1000.5	2341.3	558.8	20.6	168.4	84.6
560	17	91	786	220	125	1015	2965	10954	629	367708	367708	0	0	367708	367708	0	33	0	33	0	0	4.6	213.8	276	806.3	2979	171.1	24.7	59.8	34
580	8.826676978	72.13840476	137.1898599	69.23009667	103.3539873	400.6166268	1281.839537	3740.498223	253.2645881	127500	80201	0	47299	127500	80201	0	5	0	4	0	1	6.9	107.6	314.2	1005.4	2933.7	198.6	56.6	86.3	128.9
600	36.34365925	224.7947997	868.9737857	418	319	804.6779218	5058.363036	15862.51999	2709.532662	505340	404264	99276	1800	505340	404264	0	20	0	18	1	1	7.2	172	159.2	1001	3139	536.2	44.5	103.4	78.9
640	43	523	1672	494	579	3110	12256	48002	3845	1553472	1552033	1439	0	1553472	1552033	0	42	0	41	1	0	2.8	107.6	200.2	788.9	3090	247.5	33.7	31.8	37.3
