msa09	mmurd09	mrape09	mrobt09	mrobg09	massg09	massa09	mburg09	mlarc09	mmoto09	mpop09	mpopcm09	mpopg309	mpopl309	mpoprp09	mpopgn09	mpopna09	mct09	mctna09	mctcm09	mctg309	mctl309	mrmurd09	mrrobt09	mrassa09	mrburg09	mrlarc09	mrmoto09	mrrape09	mrrobg09	mrassg09
0	13175.33755	67592.70916	386012.4017	143736.5812	131966.5052	677838.2138	1806318.068	5312686.862	718136.563	248858431	240514008	3473157	1898004	237765222	222229660	2973262	7798	301	6844	295	358	5.4	157	275.7	734.6	2160.6	292.1	28.4	64.7	59.4
40	7	127	144	38	149	424	1377	3543	286	132845	132845	0	0	132845	132845	0	5	0	5	0	0	5.3	108.4	319.2	1036.5	2667	215.3	95.6	28.6	112.2
80	28.36413696	317.1047342	920.548594	342	187	1266.075161	6140.960365	15609.33347	1409.385986	700932	650009	7049	43874	700932	650009	0	35	0	23	3	9	4	131.3	180.6	876.1	2226.9	201.1	45.2	52.6	28.8
120	8.055444512	61.29108369	239.6731197	108	175	568.3694771	1801.995948	3837.3992	361.8211472	130089	129101	0	988	130089	129101	0	5	0	4	0	1	6.2	184.2	436.9	1385.2	2949.8	278.1	47.1	83.7	135.6
160	24.05165551	162.3145452	893.2097876	238	194	1708.29182	4198.201421	17401.90339	881.6589425	905282	897696	5426	2160	905282	897696	0	40	0	37	2	1	2.7	98.7	188.7	463.7	1922.3	97.4	17.9	26.5	21.6
200	70	428	1263	618	1062	3951	9016	23511	4292	845949	845949	0	0	845949	845949	0	12	0	12	0	0	8.3	149.3	467	1065.8	2779.2	507.4	50.6	73.1	125.5
220	8.751937085	42.12998814	212.2469189	92	96	761.9966495	1783.677122	4694.861291	304.2149755	134750	111029	15084	8637	134750	111029	0	9	0	2	2	5	6.5	157.5	565.5	1323.7	3484.1	225.8	31.3	82.9	86.5
240	23	156.8620929	765.1034882	294.2413953	89	887.3448835	3236.276277	13325.10557	1014.172558	707066	707066	0	0	707066	707066	0	59	0	59	0	0	3.3	108.2	125.5	457.7	1884.6	143.4	22.2	41.6	12.6
280	3	39	58	20	37	254	444	1815	113	125069	125069	0	0	125069	125069	0	14	0	14	0	0	2.4	46.4	203.1	355	1451.2	90.4	31.2	16	29.6
320	12	106	358	100	267	1174	2788	8265	747	237689	237689	0	0	237689	237689	0	5	0	5	0	0	5	150.6	493.9	1173	3477.2	314.3	44.6	42.1	112.3
380	14	289	543	124	262	1760	1724	8570	916	305284	305284	0	0	305284	305284	0	4	0	4	0	0	4.6	177.9	576.5	564.7	2807.2	300	94.7	40.6	85.8
440	8.088757521	259.1998516	260.1477777	116	143	1006.987919	3300.204994	9635.364434	741.5951324	633929	630280	0	3649	633929	630280	0	28	0	27	0	1	1.3	41	158.8	520.6	1519.9	117	40.9	18.4	22.7
450	6	62.86014248	172.0744906	97.80507497	111.0956324	588.49381	1832.283956	3364.558691	269.1175346	114155	114155	0	0	114155	114155	0	9	0	9	0	0	5.3	150.7	515.5	1605.1	2947.4	235.7	55.1	85.7	97.3
460	3.045883482	66.04358535	74.39706997	13	16	501.3393344	1413.534866	6699.298914	260.7810751	384204	381427	0	2777	384204	381427	0	26	0	25	0	1	0.8	19.4	130.5	367.9	1743.7	67.9	17.2	3.4	4.2
