msa03	mmurd03	mrape03	mrobt03	mrobg03	massg03	massa03	mburg03	mlarc03	mmoto03	mpop03	mpopcm03	mpopg303	mpopl303	mpoprp03	mpopgn03	mpopna03	mct03	mctna03	mctcm03	mctg303	mctl303	mrmurd03	mrrobt03	mrassa03	mrburg03	mrlarc03	mrmoto03	mrrape03	mrrobg03	mrassg03
0	14380.70027	73767.57919	391032.211	136013.2382	124520.3349	723333.519	1750053.132	5841893.288	1153183.84	234100557	214372738	6823789	5002714	222511206	198112145	7901316	7562	580	5883	443	656	6.4	172.9	319.8	773.7	2582.6	509.8	33.2	68.7	62.9
40	6	72	130	42	126	335	1914	4142	326	133253	133253	0	0	133253	133253	0	5	0	5	0	0	4.5	97.6	251.4	1436.4	3108.4	244.6	54	31.5	94.6
80	21.46196164	364.1883148	835.1560484	248.9981041	84	738.6091687	5590.700866	18337.18108	1968.988297	701158	532159	50463	118536	701158	532159	0	31	0	22	3	6	3.1	119.1	105.3	797.4	2615.3	280.8	51.9	46.8	15.8
120	7	49	284	94	60	276.2	1535.163636	3782.254545	467.3636364	125048	124193	855	0	125048	124193	0	5	0	4	1	0	5.6	227.1	220.9	1227.7	3024.6	373.7	39.2	75.7	48.3
160	24.04411112	190.7700237	758.378383	130	127	1770.482116	4557.164722	16262.32034	1298.134939	886474	763052	120745	2677	886474	763052	0	42	0	34	6	2	2.7	85.5	199.7	514.1	1834.5	146.4	21.5	17	16.6
200	66.24360767	389.6836857	1260.045255	598	920	4524.143774	7609.176567	24592.78656	4975.816831	745096	694032	4456	46608	745096	694032	0	15	0	11	2	2	8.9	169.1	607.2	1021.2	3300.6	667.8	52.3	86.2	132.6
220	9.609927018	31.49535099	229.1720777	113	322	1113.025745	2201.299952	4835.52008	390.2061207	127268	118505	200	8563	127268	118505	0	9	0	3	1	5	7.6	180.1	874.6	1729.7	3799.5	306.6	24.7	95.4	271.7
240	18.01203956	178.7548464	655.2744351	159.6979124	112.6979124	960.2097924	3034.626211	13626.87624	1465.880276	652147	549534	14878	87735	652147	549534	0	53	0	35	2	16	2.8	100.5	147.2	465.3	2089.5	224.8	27.4	29.1	20.5
280	2.395780233	37.51476475	106.1375409	21	14	139.0518743	644.1982569	2014.493972	161.5535598	128155	110897	0	17258	128155	110897	0	14	0	9	0	5	1.9	82.8	108.5	502.7	1571.9	126.1	29.3	18.9	12.6
320	17	106	388	134	295	1086	2443	9141	964	226381	226381	0	0	226381	226381	0	5	0	5	0	0	7.5	171.4	479.7	1079.2	4037.9	425.8	46.8	59.2	130.3
380	17	249	347	108	218	1308	1508	10086	1275	282940	282940	0	0	282940	282940	0	3	0	3	0	0	6	122.6	462.3	533	3564.7	450.6	88	38.2	77
440	10	230.6113248	259	100	137	910.223932	3225.501923	11111.85064	1386.584936	605131	605131	0	0	605131	605131	0	27	0	27	0	0	1.7	42.8	150.4	533	1836.3	229.1	38.1	16.5	22.6
450	3.841480996	47.36592398	212.7688729	103.9392529	153.2927593	458.2817833	1596.162137	4080.650877	367.6165393	111970	111970	0	0	111970	111970	0	9	0	9	0	0	3.4	190	409.3	1425.5	3644.4	328.3	42.3	92.8	136.9
460	4	56.20915493	62.20915493	22.20915493	14.47301262	274.0369343	1152.402074	6801.920074	291.5113152	369011	366301	2710	0	369011	366301	0	24	0	23	1	0	1.1	16.9	74.3	312.3	1843.3	79	15.2	6.1	4
480	8.078658817	45.40525022	274.7407263	93	65	486.3602155	1894.560629	5533.534971	777.1711402	233625	96647	135700	1278	233625	96647	0	11	0	7	2	2	3.5	117.6	208.2	810.9	2368.6	332.7	19.4	96.2	67.3
500	10.03912741	54.17239595	156.9823039	58	45	251.841636	1379.355732	5955.173429	509.6774368	160156	158577	1078	501	160156	158577	0	8	0	6	1	1	6.3	98	157.2	861.3	3718.4	318.2	33.8	36.6	28.4
520	400.053136	1197.118792	9865.353544	5272.048255	2836.048255	12069.78612	41616.78124	123299.4673	29939.44256	4450077	3930423	350430	169224	4450077	3381806	0	108	0	77	22	9	9	221.7	271.2	935.2	2770.7	672.8	26.9	155.9	83.9
560	19	85	560	166	111	930	2833	11853	641	363459	363459	0	0	363459	363459	0	33	0	33	0	0	5.2	154.1	255.9	779.5	3261.2	176.4	23.4	45.7	30.5
580	7.149197356	53.19357885	127.3125432	86.96976697	130.4173749	428.8489141	1299.097182	3552.726958	198.5948533	118498	118498	0	0	118498	118498	0	5	0	5	0	0	6	107.4	361.9	1096.3	2998.1	167.6	44.9	73.4	110.1
600	44.16826811	268.7740211	603.1775743	258	427	864.6999045	4119.200211	14096.59361	1776.805456	490605	488509	0	2096	490605	488509	0	21	0	19	0	2	9	122.9	176.3	839.6	2873.3	362.2	54.8	52.8	87.4
