msa10	mmurd10	mrape10	mrobt10	mrobg10	massg10	massa10	mburg10	mlarc10	mmoto10	mpop10	mpopcm10	mpopg310	mpopl310	mpoprp10	mpopgn10	mpopna10	mct10	mctna10	mctcm10	mctg310	mctl310	mrmurd10	mrrobt10	mrassa10	mrburg10	mrlarc10	mrmoto10	mrrape10	mrrobg10	mrassg10
0	12847.88846	65733.11718	348818.8382	125149.342	124575.7774	656881.2209	1781047.076	5201753.989	666396.3969	249780330	243291303	4147744	1987033	238794127	222864084	354250	7819	71	7007	370	371	5.2	139.8	263.4	714.1	2085.5	267.2	27.5	56.2	55.9
40	4	74	113	26	133	411	1461	3641	206	136651	136651	0	0	136651	136651	0	5	0	5	0	0	2.9	82.7	300.8	1069.1	2664.5	150.7	54.2	19	97.3
80	27.83670743	296.3565364	743.5120382	262	174	1099.455172	6729.269346	14761.93931	1155.301335	703200	649842	10731	42627	703200	649842	0	34	0	23	3	8	4	105.7	156.4	956.9	2099.3	164.3	42.1	40.3	26.8
120	12.93727486	37.08368439	230.9169271	92	182	542.7449836	1996.184262	4029.314431	410.2603769	122863	105157	0	17706	122863	105157	0	5	0	3	0	2	10.5	187.9	441.7	1624.7	3279.5	333.9	30.2	87.5	173.1
160	14.0512156	181.3377331	851.8196033	193	200	1672.59089	4567.629499	18574.54866	928.4872158	920935	915205	3501	2229	920935	915205	0	40	0	38	1	1	1.5	92.5	181.6	496	2016.9	100.8	19.7	21.1	21.9
200	50	395	1096.181818	489	997	4273.727273	7987.545455	22705.18182	3390.181818	870694	862365	8329	0	870694	862365	0	12	0	11	1	0	5.7	125.9	490.8	917.4	2607.7	389.4	45.4	56.7	115.6
220	9.564128321	37.88332253	211.7750594	85	120	728.7847032	1836.198045	4758.624314	322.9567725	131613	123112	211	8290	131613	123112	0	9	0	3	1	5	7.3	160.9	553.7	1395.1	3615.6	245.4	28.8	69	97.5
240	23.08503309	158.427053	754.7694346	260.6298335	85	836.1439986	3323.515555	13414.94007	854.5464646	712481	703939	5193	3349	712481	703939	0	60	0	56	3	1	3.2	105.9	117.4	466.5	1882.8	119.9	22.2	37	12.1
280	1	48.18181818	63.09090909	6	29	195.3636364	537.8181818	1666.090909	88.18181818	127089	120351	6738	0	127089	120351	0	14	0	13	1	0	0.8	49.6	153.7	423.2	1311	69.4	37.9	5	24.1
320	14	112	244	83	219	908	2801	8356	701	241798	241798	0	0	241798	241798	0	5	0	5	0	0	5.8	100.9	375.5	1158.4	3455.8	289.9	46.3	34.3	90.6
380	13	269	465	127	234	1799	1303	8811	867	307506	307506	0	0	307506	307506	0	4	0	4	0	0	4.2	151.2	585	423.7	2865.3	281.9	87.5	41.3	76.1
440	7.165270584	275.0034513	293.9686219	112	188.6459904	1061.368891	3185.27157	9696.183041	762.4999494	625650	619615	0	6035	625650	619615	0	27	0	26	0	1	1.1	47	169.6	509.1	1549.8	121.9	44	18.1	30.4
450	7.24064828	40.83501292	98.44444444	42.41666667	112.0906977	365.3247682	1517.304803	2953.017321	181.8364455	118572	118572	0	0	118572	118572	0	9	0	9	0	0	6.1	83	308.1	1279.6	2490.5	153.4	34.4	35.8	94.5
460	2	77.58433547	60.09090909	19	20	559.8963829	1487.879333	6345.748887	200.7365173	392660	366238	26422	0	392660	366238	0	26	0	24	2	0	0.5	15.3	142.6	378.9	1616.1	51.1	19.8	5.2	5.5
480	5.124412713	48.54741594	205.465584	83	63	363.4509039	1815.609122	4154.611522	490.9936141	259082	247592	9335	2155	259082	247592	0	11	0	5	3	3	2	79.3	140.3	700.8	1603.6	189.5	18.7	33.5	25.4
500	6.067049242	32.28900535	131.620742	47	68	487.6220463	1773.976382	4538.892343	418.9654261	177642	176516	0	1126	177642	176516	0	7	0	6	0	1	3.4	74.1	274.5	998.6	2555.1	235.8	18.2	26.6	38.5
520	330.3206248	1137.070702	8118.10426	4641.788444	2955	12709.47263	51368.20005	113848.178	19904.08124	5110183	4530505	562080	17598	5110183	4360424	0	113	0	101	5	7	6.5	158.9	248.7	1005.2	2227.9	389.5	22.3	106.5	67.8
560	24	69	737	192	132	873	3145	10765	416	371814	371814	0	0	371814	371814	0	32	0	32	0	0	6.5	198.2	234.8	845.9	2895.3	111.9	18.6	51.6	35.5
