msa01	mmurd01	mrape01	mrobt01	mrobg01	massg01	massa01	mburg01	mlarc01	mmoto01	mpop01	mpopcm01	mpopg301	mpopl301	mpoprp01	mpopgn01	mpopna01	mct01	mctna01	mctcm01	mctg301	mctl301	mrmurd01	mrrobt01	mrassa01	mrburg01	mrlarc01	mrmoto01	mrrape01	mrrobg01	mrassg01
0	16671.52726	72033.39484	399564.4767	145274.7414	126845.4283	765033.2946	1717465.987	5881576.748	1118291.691	228558756	206670003	5761172	8395444	217160021	198994326	7732137	7431	583	5582	507	759	7.5	180.9	346.4	777.7	2663.4	506.4	33.2	73	63.7
40	2.905314564	65.87538061	85.83384081	17.19517379	63.92272332	252.253203	1127.680494	3497.111116	220.8213156	129427	129427	0	0	129427	129427	0	4	0	4	0	0	2.2	66.3	194.9	871.3	2702	170.6	50.9	13.3	49.4
80	17.83984289	262.3156764	798.8499353	210.9952356	74	642.2483469	5344.602073	19278.684	2399.235112	696209	579817	87628	28764	696209	579817	0	31	0	24	3	4	2.6	114.7	92.2	767.7	2769.1	344.6	37.7	36.4	12.8
120	7	42.33333333	228.6666667	89	94	331	1602.333333	3727.333333	384	123736	103356	20380	0	123736	103356	0	5	0	3	2	0	5.7	184.8	267.5	1295	3012.3	310.3	34.2	86.1	90.9
160	17.2727957	214.3954341	982.4400711	201	185	1937.97282	5264.332034	18684.18484	1466.312146	877194	698981	167340	10873	877194	698981	0	42	0	31	10	1	2	112	220.9	600.1	2130	167.2	24.4	28.8	26.5
200	43.64329639	322.1657537	1915.158387	938	1029	5065.232199	8989.05038	29004.24119	5103.075991	716696	635923	38479	42294	716696	635923	0	15	0	8	4	3	6.1	267.2	706.7	1254.2	4046.9	712	45	147.5	161.8
220	9.188783957	46.3050717	202.4460068	87	125	736.8606506	2131.414877	4377.438918	325.8291011	126237	122893	0	3344	126237	122893	0	9	0	6	0	3	7.3	160.4	583.7	1688.4	3467.6	258.1	36.7	70.8	101.7
240	28.39992735	152.4641632	590.9831125	162	159	1168.12772	3028.165625	12964.53856	1310.292734	638275	506818	18984	112473	638275	506818	0	52	0	29	4	19	4.4	92.6	183	474.4	2031.2	205.3	23.9	32	31.4
280	4.60023569	48.48411368	105.0247247	20	13	191.404244	756.4298536	2641.582798	195.2051678	129208	93467	12461	23280	129208	93467	0	14	0	3	4	7	3.6	81.3	148.1	585.4	2044.4	151.1	37.5	21.4	13.9
320	21	101	281	85	341	1070	2800	9436	1005	222802	222802	0	0	222802	222802	0	5	0	5	0	0	9.4	126.1	480.2	1256.7	4235.2	451.1	45.3	38.2	153.1
380	11	214	392	152	246	1229	1686	9438	1276	273717	273717	0	0	273717	273717	0	3	0	3	0	0	4	143.2	449	616	3448.1	466.2	78.2	55.5	89.9
440	21.09987531	199.7136468	353.2259622	132	159.28375	996.8477513	3075.557439	11625.14889	1263.095749	581786	570057	8243	3486	581786	570057	0	26	0	24	1	1	3.6	60.7	171.3	528.6	1998.2	217.1	34.3	23.2	27.9
450	9.847628354	57.64287922	205.2093043	101.2426787	167.1080415	573.5268898	1467.387422	3927.114107	351.1237386	112685	112676	0	9	112685	112676	0	9	0	8	0	1	8.7	182.1	509	1302.2	3485	311.6	51.2	89.9	148.3
460	1.042502282	63.55924055	32.21578896	9	8	318.9670353	947.8206109	6997.557436	288.3588073	360919	357961	0	2958	360919	357961	0	24	0	23	0	1	0.3	8.9	88.4	262.6	1938.8	79.9	17.6	2.5	2.2
480	1.140892253	55.64364447	265.7535304	92	65	434.3733944	1953.27807	4947.53853	750.7331722	229810	209529	18130	2151	229810	209529	0	11	0	6	2	3	0.5	115.6	189	850	2152.9	326.7	24.2	43.9	31
500	9.230591282	34.19475971	196.9250502	61	57	314.5534041	1329.047275	6386.162157	539.3306253	157146	132340	0	24806	157146	132340	0	8	0	6	0	2	5.9	125.3	200.2	845.7	4063.8	343.2	21.8	46.1	43.1
520	331.8855879	1148.991644	9895.832428	4104.005971	2696.017914	12671.59502	36529.7439	119062.4113	24403.5961	4211379	4005733	160962	44684	4211379	3165204	0	109	0	74	27	8	7.9	235	300.9	867.4	2827.2	579.5	27.3	129.7	85.2
560	18	106	516	107	75	1090	2717	13639	656	357833	357833	0	0	357833	357833	0	33	0	33	0	0	5	144.2	304.6	759.3	3811.6	183.3	29.6	29.9	21
580	5.270659987	24.12363822	82.46727527	34.47129515	44.24197357	263.5586519	1230.25172	3502.984995	278.5601806	115539	91950	0	23589	115539	91950	0	5	0	4	0	1	4.6	71.4	228.1	1064.8	3031.9	241.1	20.9	37.5	48.1
600	32.02086373	239.4871662	573.8581511	248	235	877.2843387	4064.850905	13700.46779	1733.0578	487051	476174	10637	240	487051	476174	0	20	0	16	3	1	6.6	117.8	180.1	834.6	2812.9	355.8	49.2	52.1	49.4
640	41	470	1380	464	477	2820	11287	41907	4230	1278125	1272690	5435	0	1278125	1272690	0	36	0	35	1	0	3.2	108	220.6	883.1	3278.8	331	36.8	36.5	37.5
680	39	191	741	183	201	2304	5926	15221	2773	673941	673941	0	0	673941	673941	0	10	0	10	0	0	5.8	110	341.9	879.3	2258.5	411.5	28.3	27.2	29.8
720	308	763	8674	3384	1915	17227	24134	78552	14355	2590914	2590914	0	0	2590914	2590914	0	17	0	17	0	0	11.9	334.8	664.9	931.5	3031.8	554.1	29.4	130.6	73.9
733	5.004771121	37.16971558	28.16767082	5	4	69.41781387	777.047383	3575.032548	204.7436133	146254	145687	0	567	146254	145687	0	14	0	13	0	1	3.4	19.3	47.5	531.3	2444.4	140	25.4	3.4	2.7
743	3.046881807	50.8373812	54.81757159	11	35	745.6035578	1412.623903	3649.162091	326.4762807	223287	219840	0	3447	223287	219840	0	15	0	14	0	1	1.4	24.6	333.9	632.6	1634.3	146.2	22.8	5	15.9
760	63.85586578	157.811499	1404.828602	827	581	2595.819842	7924.457973	26582.47914	2893.936365	602415	503805	95366	3244	602415	503805	0	15	0	11	2	2	10.6	233.2	430.9	1315.4	4412.7	480.4	26.2	164.2	115.3
840	19	307	581	205	182	1227	4080	11855	1326	393829	393829	0	0	393829	393829	0	17	0	17	0	0	4.8	147.5	311.6	1036	3010.2	336.7	78	52.1	46.2
860	1	87	77	21	38	220	1461	6420	460	169470	169470	0	0	169470	169470	0	8	0	8	0	0	0.6	45.4	129.8	862.1	3788.3	271.4	51.3	12.4	22.4
870	9.999184871	131.1777425	85.99551679	34.99836974	122.9955168	591.2572398	1392.768459	4485.863896	461.2539793	163309	144612	18697	0	163309	144612	0	21	0	18	3	0	6.1	52.7	362	852.8	2746.9	282.4	80.3	24.2	85.1
875	39	90	1697	417	254	2058	6297	20907	5197	1384605	1384605	0	0	1384605	1384605	0	86	0	86	0	0	2.8	122.6	148.6	454.8	1510	375.3	6.5	30.1	18.3
880	9	17.88722391	42.33083586	12	29	221.5039411	628.2708965	4954.624989	309.631702	129674	96341	0	33333	129674	96341	0	3	0	2	0	1	6.9	32.6	170.8	484.5	3820.8	238.8	13.8	12.5	30.1
920	39.53806627	160.5177485	487.2487154	141	68	682.2981661	4871.565501	14456.49649	1484.46561	365699	337483	0	28216	365699	249074	0	12	0	11	0	1	10.8	133.2	186.6	1332.1	3953.1	405.9	43.9	56.6	27.3
960	3	65.18181818	98.90909091	30	17	305.7912616	899.8821707	4769.363636	180.4545455	252784	223321	29463	0	252784	223321	0	10	0	7	3	0	1.2	39.1	121	356	1886.7	71.4	25.8	13.4	7.6
1000	115.1027275	371.7536087	1757.340772	322	243.0014953	3099.596744	8882.152736	28211.19987	3716.399143	924680	763336	0	161344	924680	519574	0	57	0	41	0	16	12.4	190	335.2	960.6	3050.9	401.9	40.2	62	46.8
