msa99	mmurd99	mrape99	mrobt99	mrobg99	massg99	massa99	mburg99	mlarc99	mmoto99	mpop99	mpopcm99	mpopg399	mpopl399	mpoprp99	mpopgn99	mpopna99	mct99	mctna99	mctcm99	mctg399	mctl399	mrmurd99	mrrobt99	mrassa99	mrburg99	mrlarc99	mrmoto99	mrrape99	mrrobg99	mrassg99
0	12901.65966	69375.0681	378531.9676	124127.9678	119165.7436	762272.9984	1680990.705	5701839.993	1027700.297	218206731	193639840	6959270	7692587	204230837	179554091	9915034	7189	678	5344	574	593	6.2	181.7	366	807	2737.4	493.4	34	69.1	66.4
40	11.89837546	41.69512639	122.9583485	16.85603191	125.9414111	341.2561375	1126.336508	3438.840843	268.8404786	123773	123773	0	0	123773	123773	0	4	0	4	0	0	9.6	99.3	275.7	910	2778.3	217.2	33.7	13.6	101.8
80	13.96457221	239.1744332	547.2023885	136	48	658.9645085	4314.348759	16833.48581	1484.784991	691850	551646	103223	36981	691850	551646	0	29	0	19	3	7	2	79.1	95.2	623.6	2433.1	214.6	34.6	24.7	8.7
120	12	36	271.3333333	90	92	356.1818182	1835.030303	4747.878788	406.6666667	120332	119191	1141	0	120332	99140	0	5	0	4	1	0	10	225.5	296	1525	3945.6	338	29.9	90.8	92.8
160	20.07024112	161.4253321	720.1717148	74	53	1460.340745	5626.93804	18570.75719	1177.515992	872626	623646	197600	51380	872626	613292	0	42	0	29	12	1	2.3	82.5	167.4	644.8	2128.1	134.9	18.5	12.1	8.6
200	76.51393203	305.6479499	1953.713722	964	1187	4667.77262	9550.399252	30309.95182	5788.146222	679926	611770	29682	38474	679926	611770	0	14	0	6	5	3	11.3	287.3	686.5	1404.6	4457.8	851.3	45	157.6	194
220	12.2262623	43.17930652	168.2612733	3	75	613.5016505	2031.559355	4824.138329	302.885627	126852	122080	1658	3114	126852	76248	0	8	0	4	1	3	9.6	132.6	483.6	1601.5	3803	238.8	34	3.9	98.4
240	21.74028622	121.0378999	631.0905597	199	138	1007.643375	3101.368785	12960.70633	1352.082625	616496	505944	79422	31130	616496	489071	0	52	0	32	12	8	3.5	102.4	163.4	503.1	2102.3	219.3	19.6	40.7	28.2
280	1	28	60.18181818	8	16	173.0909091	667.5636364	2388.945455	187.8363636	130534	121965	8569	0	130534	121965	0	13	0	10	3	0	0.8	46.1	132.6	511.4	1830.1	143.9	21.5	6.6	13.1
320	11	62	239	71	226	1014	1948	10378	767	211611	211611	0	0	211611	211611	0	5	0	5	0	0	5.2	112.9	479.2	920.6	4904.3	362.5	29.3	33.6	106.8
380	19	166	403	175	244	1192	1621	9308	1326	267853	267853	0	0	267853	267853	0	3	0	3	0	0	7.1	150.5	445	605.2	3475	495	62	65.3	91.1
440	16.52688365	183.6784937	350.3946052	107.6856629	167	1053.390317	3009.510581	10927.44716	1305.054715	550242	532868	0	17374	550242	532868	0	27	0	23	0	4	3	63.7	191.4	546.9	1985.9	237.2	33.4	20.2	31.3
450	13	54	207	77	187	633	1671	4188	444	117498	117498	0	0	117498	117498	0	6	0	6	0	0	11.1	176.2	538.7	1422.2	3564.3	377.9	46	65.5	159.2
460	1	73.6	30.09090909	8	12	302.1736884	858.8695166	6519.709146	287.6893864	346241	331290	14951	0	346241	331290	0	19	0	13	6	0	0.3	8.7	87.3	248.1	1883	83.1	21.3	2.4	3.6
480	10.71243215	58.63408851	252.6919987	84	57	549.9412837	1979.225242	5243.968809	625.897375	216581	193104	19370	4107	216581	193104	0	11	0	4	4	3	4.9	116.7	253.9	913.8	2421.3	289	27.1	43.5	29.5
500	7.018411527	60.99520731	194.3472604	72	71	309.9796674	1505.051685	6157.267317	553.5000532	141330	116863	1072	23395	141330	116863	0	9	0	6	1	2	5	137.5	219.3	1064.9	4356.7	391.6	43.2	61.6	60.8
520	298.7141358	1201.56472	8720.345823	3720	2639	12986.27443	36837.35896	129596.333	26964.82844	3817395	3561361	224533	31501	3817395	2249333	0	106	0	80	19	7	7.8	228.4	340.2	965	3394.9	706.4	31.5	165.4	117.3
560	11	111	603	202	97	971	3225	15776	707	337292	337292	0	0	337292	337292	0	33	0	33	0	0	3.3	178.8	287.9	956.1	4677.3	209.6	32.9	59.9	28.8
580	9	54	96	48	133	750	1137	3593	211	100856	100856	0	0	100856	100856	0	3	0	3	0	0	8.9	95.2	743.6	1127.3	3562.5	209.2	53.5	47.6	131.9
600	19.01935848	209.2406826	675.8181258	273	275	969.4749937	4062.055708	14270.82102	1769.036707	466083	378909	86884	290	466083	378909	0	19	0	16	2	1	4.1	145	208	871.5	3061.9	379.6	44.9	72	72.6
640	36	323	1116	315	470	2692.5	9648	36459	3298	1121834	1120392	1442	0	1121834	1120392	0	32	0	31	1	0	3.2	99.5	240	860	3249.9	294	28.8	28.1	41.9
680	52.35071606	136.0080883	751.9424777	192	301	2518.533503	6129.120274	14583.86916	2512.261148	640710	631476	1215	8019	640710	631476	0	13	0	10	1	2	8.2	117.4	393.1	956.6	2276.2	392.1	21.2	30.4	47.7
720	51	409	2723	1195	825	7212	13010	47704	5786	2502132	1851544	0	0	1851544	1851544	650588	17	1	16	0	0	2.8	147.1	389.5	702.7	2576.4	312.5	22.1	64.5	44.6
733	4.190433886	16.3073613	30.47502511	2	3	85.59097851	659.0599931	2994.827397	168.0084121	143328	127390	15473	465	143328	127390	0	14	0	10	3	1	2.9	21.3	59.7	459.8	2089.5	117.2	11.4	1.6	2.4
