msa06	mmurd06	mrape06	mrobt06	mrobg06	massg06	massa06	mburg06	mlarc06	mmoto06	mpop06	mpopcm06	mpopg306	mpopl306	mpoprp06	mpopgn06	mpopna06	mct06	mctna06	mctcm06	mctg306	mctl306	mrmurd06	mrrobt06	mrassa06	mrburg06	mrlarc06	mrmoto06	mrrape06	mrrobg06	mrassg06
0	15094.24647	71999.30291	422096.5282	152834.8716	146827.0934	729538.4672	1788386.627	5460364.528	1087649.568	241597421	225162676	4587203	4569789	230630188	208946421	7277753	7668	497	6163	393	615	6.4	180.1	311.3	763.2	2330.3	464.2	31.2	73.1	70.3
40	6	69	108	29	205	400	1423	3697	327	134437	134437	0	0	134437	134437	0	5	0	5	0	0	4.5	80.3	297.5	1058.5	2750	243.2	51.3	21.6	152.5
80	32.81231812	303.9456425	913.3336447	284	143	649.5492186	5823.762382	16521.93889	2054.648856	703091	601626	73127	28338	703091	551070	0	33	0	22	5	6	4.7	129.9	92.4	828.3	2349.9	292.2	43.2	51.5	25.9
120	10.18181818	36.09090909	258.4545455	114	110	312.5064935	1942.32987	4014.015584	466.5142857	130027	97929	32098	0	130027	97929	0	5	0	2	3	0	7.8	198.8	240.3	1493.8	3087.1	358.8	27.8	116.4	112.3
160	18.06833258	212.722172	971.6328144	239	236	2098.914826	4979.027387	17932.04832	1206.169914	900250	895294	1135	3821	900250	895294	0	41	0	38	1	2	2	107.9	233.1	553.1	1991.9	134	23.6	26.7	26.4
200	71.54545455	418.5454545	1404.909091	656	992	4353.030303	8822.545455	23238.15152	6683.727273	791051	783395	7656	0	791051	783395	0	13	0	11	2	0	9	177.6	550.3	1115.3	2937.6	844.9	52.9	83.7	126.6
220	11.31401185	67.15719631	219.875316	92	245	1180.931447	2110.07873	4563.1082	514.3883107	121764	56660	56972	8132	121764	56660	0	9	0	2	2	5	9.3	180.6	969.9	1732.9	3747.5	422.4	55.2	162.4	432.4
240	29.63230154	159.5367791	1051.382801	367	169	1278.546753	3398.283185	15258.25753	1333.470672	680762	605413	17347	58002	680762	605413	0	58	0	43	5	10	4.4	154.4	187.8	499.2	2241.3	195.9	23.4	60.6	27.9
280	1.185907106	49.37169297	114.0947384	25	44	225.7252114	787.6481463	2246.819521	173.7594509	126907	115576	4725	6606	126907	115576	0	13	0	10	1	2	0.9	89.9	177.9	620.6	1770.4	136.9	38.9	21.6	38.1
320	7	102	406	123	317	1198	2581	8164	1100	236420	236420	0	0	236420	236420	0	5	0	5	0	0	3	171.7	506.7	1091.7	3453.2	465.3	43.1	52	134.1
380	17.50224446	261.0404003	483.3572743	142	308	1963.324527	1823.233424	9256.576325	1505.069885	294862	286309	0	8553	294862	286309	0	4	0	3	0	1	5.9	163.9	665.8	618.3	3139.3	510.4	88.5	49.6	107.6
440	10	224.2634719	301.631736	112.631736	143.8952079	997.8443036	3049.67604	10085.85495	1083.71736	623839	620180	3659	0	623839	620180	0	28	0	27	1	0	1.6	48.4	160	488.9	1616.7	173.7	35.9	18.2	23.2
450	21.78221842	57.78476328	253.9647653	124	146.1122772	495.6963866	1862.149583	3812.64747	465.1161635	113155	35136	0	78019	113155	35136	0	10	0	5	0	5	19.2	224.4	438.1	1645.7	3369.4	411	51.1	352.9	415.8
460	6	77.25671881	59.18806818	21	32.21665947	459.8781059	1323.665469	6989.87305	314.6371891	375999	375999	0	0	375999	375999	0	24	0	24	0	0	1.6	15.7	122.3	352	1859	83.7	20.5	5.6	8.6
480	5.146159318	70.80387625	271.4145884	122	85	427.4224307	2125.141588	4735.926369	781.2205001	243903	241720	0	2183	243903	241720	0	11	0	8	0	3	2.1	111.3	175.2	871.3	1941.7	320.3	29	50.5	35.2
500	6.834574348	67.19332192	176.4093594	42	34	309.5506483	1471.45493	5618.513064	575.797003	166661	133709	4333	28619	166661	133709	0	8	0	3	3	2	4.1	105.8	185.7	882.9	3371.2	345.5	40.3	31.4	25.4
520	385.6277947	1082.920593	10570.39744	5625	3116.077508	14599.14848	46927.64379	115947.0808	28131.23766	4921829	4183585	663163	75081	4921829	3557597	0	108	0	65	28	15	7.8	214.8	296.6	953.5	2355.8	571.6	22	158.1	87.6
560	31	100	674	160	142	993	2889	10652	602	370583	370583	0	0	370583	370583	0	33	0	33	0	0	8.4	181.9	268	779.6	2874.4	162.4	27	43.2	38.3
580	7.969103472	32.42985349	103.873716	38	32	156.8835934	1293.042667	3264.199959	227.8789118	124369	98052	0	26317	124369	98052	0	5	0	3	0	2	6.4	83.5	126.1	1039.7	2624.6	183.2	26.1	38.8	32.6
600	31.3058577	223.701986	815.8162596	396	276	846.9697914	4905.833658	15630.01677	2653.200197	510084	372906	135302	1876	510084	372906	0	20	0	12	7	1	6.1	159.9	166	961.8	3064.2	520.1	43.9	106.2	74
640	29.02605892	523.3529551	1565.658977	507	616	3041.308056	11433.44139	44106.99015	3374.289092	1493692	1492758	0	934	1493692	1492758	0	40	0	39	0	1	1.9	104.8	203.6	765.4	2952.9	225.9	35	34	41.3
680	65	201	1059	279	323	2864	8712	18991	5761	763641	763641	0	0	763641	763641	0	10	0	10	0	0	8.5	138.7	375	1140.9	2486.9	754.4	26.3	36.5	42.3
720	355	501	7842	1581	853	13239	19052	60997	12699	2662948	2662948	0	0	2662948	2025392	0	17	0	17	0	0	13.3	294.5	497.2	715.4	2290.6	476.9	18.8	78.1	42.1
733	3	14	33	5	3	61	784	3699	143	147076	147076	0	0	147076	147076	0	13	0	13	0	0	2	22.4	41.5	533.1	2515	97.2	9.5	3.4	2
743	4	64.5	85	9	48	876.6363636	2182.909091	3482.5	323.3636364	227875	215418	12457	0	227875	215418	0	15	0	13	2	0	1.8	37.3	384.7	957.9	1528.3	141.9	28.3	4.2	22.3
760	89.34902633	205.8879151	1453.2315	808	1037	3382.087437	7808.44994	21069.49337	2806.797556	599766	591275	4798	3693	599766	591275	0	15	0	11	1	3	14.9	242.3	563.9	1301.9	3513	468	34.3	136.7	175.4
840	18	162	618	210	265	1430	4533	9750	1397	394399	393865	534	0	394399	393865	0	18	0	17	1	0	4.6	156.7	362.6	1149.3	2472.1	354.2	41.1	53.3	67.3
860	1	76	98	17	40	257	1818	6504	518	186623	186623	0	0	186623	186623	0	9	0	9	0	0	0.5	52.5	137.7	974.2	3485.1	277.6	40.7	9.1	21.4
870	8.124339603	107.0646055	107.8893935	32.99658382	71.99402169	552.0045003	1048.105594	3978.555281	262.5384505	162206	155600	2268	4338	162206	155600	0	19	0	14	1	4	5	66.5	340.3	646.2	2452.8	161.9	66	21.2	46.3
875	30	93	1535	370	251	1953	4766	16582	2930	1402689	1402689	0	0	1402689	1402689	0	86	0	86	0	0	2.1	109.4	139.2	339.8	1182.2	208.9	6.6	26.4	17.9
880	3	34	48	13	27	173	588	4219	381	138000	138000	0	0	138000	138000	0	3	0	3	0	0	2.2	34.8	125.4	426.1	3057.2	276.1	24.6	9.4	19.6
920	33.41388147	138.3071967	429.417434	146	94	428.6626116	5008.817235	11180.09458	2012.211685	375101	269099	17719	88283	375101	269099	0	12	0	8	1	3	8.9	114.5	114.3	1335.3	2980.6	536.4	36.9	54.3	34.9
960	6	67.98170732	117	21	18	337.9085366	985.4359756	5310.454268	148.4908537	249087	249087	0	0	249087	249087	0	10	0	10	0	0	2.4	47	135.7	395.6	2132	59.6	27.3	8.4	7.2
1000	134.941838	471.8480185	2510.708941	599.003071	378	2819.431556	10957.85318	29750.34078	4224.814056	965402	849256	0	116146	965402	615679	0	59	0	41	0	18	14	260.1	292	1135.1	3081.7	437.6	48.9	97.3	61.4
1010	2	30	10	0	3	149	415	1697	137	99220	99220	0	0	99220	99220	0	5	0	5	0	0	2	10.1	150.2	418.3	1710.3	138.1	30.2	0	3
1020	2	42	73	27	18	199	946	2912	206	122211	122211	0	0	122211	122211	0	2	0	2	0	0	1.6	59.7	162.8	774.1	2382.8	168.6	34.4	22.1	14.7
1040	0	0	0	0	0	0	0	0	0	159868	0	0	0	0	0	159868	10	10	0	0	0									
1080	14	245	182	73	220	1089	3107	10113	1145	522638	522638	0	0	522638	522638	0	9	0	9	0	0	2.7	34.8	208.4	594.5	1935	219.1	46.9	14	42.1
1123	167.9707325	1551.514538	7327.578948	1834	1846	18109.54931	29437.97299	94697.67537	15597.49255	6177816	5912769	82716	182331	6177816	5912769	0	300	0	264	11	25	2.7	118.6	293.1	476.5	1532.9	252.5	25.1	31	31.2
1125	3.884942738	93.75228172	80.23392965	12	35	524.7476859	1569.525237	6359.00885	577.7766774	286122	202757	0	83365	286122	202757	0	8	0	6	0	2	1.4	28	183.4	548.6	2222.5	201.9	32.8	5.9	17.3
1145	3	76.4410007	108.6719636	45.24937071	70.13388928	423.3045943	1742.788233	4327.776435	445.1288549	286376	286376	0	0	286376	286376	0	17	0	17	0	0	1	37.9	147.8	608.6	1511.2	155.4	26.7	15.8	24.5
1150	3	231	125	34	81	655	1742	4178	601	244796	244796	0	0	244796	244796	0	5	0	5	0	0	1.2	51.1	267.6	711.6	1706.7	245.5	94.4	13.9	33.1
