msa97	mmurd97	mrape97	mrobt97	mrobg97	massg97	massa97	mburg97	mlarc97	mmoto97	mpop97	mpopcm97	mpopg397	mpopl397	mpoprp97	mpopgn97	mpopna97	mct97	mctna97	mctcm97	mctg397	mctl397	mrmurd97	mrrobt97	mrassa97	mrburg97	mrlarc97	mrmoto97	mrrape97	mrrobg97	mrassg97
0	15497.7156	76624.34773	472135.3282	160506.491	144788.6537	858251.4129	2000056.1	6367695.416	1241534.608	214016593	186055545	10276388	8190427	201173903	175453965	9494233	7101	708	5075	670	648	7.6	230.8	419.6	977.9	3113.4	607	38.1	91.5	82.5
40	1.984035606	72.46519281	124.0102076	30.76053409	132.9702966	471.4159936	1443.4635	4344.89783	302.6532341	128936	128936	0	0	128936	128936	0	4	0	4	0	0	1.5	96.2	365.6	1119.5	3369.8	234.7	56.2	23.9	103.1
80	39.8302295	386.6458197	1517.984575	23	19	2016.037832	6945.547899	21419.17576	3707.917907	681889	171941	94984	414964	681889	171941	0	27	0	16	2	9	5.8	222.6	295.7	1018.6	3141.2	543.8	56.7	13.4	11.1
120	10.2679629	54.57776782	360.2856667	151	136	366.9865301	2217.933943	4941.487009	547.3367699	124109	103446	19765	898	124109	103446	0	5	0	2	2	1	8.3	290.3	295.7	1787.1	3981.6	441	44	146	131.5
160	33.77524348	245.0240371	967.753204	151	63	1727.59119	6366.501007	19883.25221	1325.271152	873630	685708	142568	45354	873630	685708	0	43	0	33	6	4	3.9	110.8	197.7	728.7	2275.9	151.7	28	22	9.2
200	61.11147463	394.8250776	2056.22897	1098	1349	4909.87767	11886.92739	32024.31111	9092.647857	675809	624336	7067	44406	675809	613469	0	14	0	8	1	5	9	304.3	726.5	1758.9	4738.7	1345.4	58.4	179	219.9
220	9.672410425	49.42984486	242.9425921	110	133	741.6333586	2225.825922	4991.382815	409.4862746	127553	118968	2790	5795	127553	118968	0	8	0	3	2	3	7.6	190.5	581.4	1745	3913.2	321	38.8	92.5	111.8
240	27.4536479	158.4110903	666.4532688	112	65	989.2095499	3415.104267	13985.37159	1510.606949	610063	291643	294726	23694	610063	291643	0	52	0	17	30	5	4.5	109.2	162.1	559.8	2292.4	247.6	26	38.4	22.3
280	1	32.33333333	51.96969697	2	12	176.8333333	782.1909091	2347.036364	199.8787879	131453	54784	76669	0	131453	54784	0	13	0	5	8	0	0.8	39.5	134.5	595	1785.5	152.1	24.6	3.7	21.9
320	17	76	250	105	309	988	2348	9378	842	208406	208406	0	0	208406	208406	0	5	0	5	0	0	8.2	120	474.1	1126.6	4499.9	404	36.5	50.4	148.3
380	24	187	507	220	281	1330	1997	10974	1415	264356	264356	0	0	264356	264356	0	3	0	3	0	0	9.1	191.8	503.1	755.4	4151.2	535.3	70.7	83.2	106.3
440	16.31403541	221.8295429	405.4839209	91	133	1145.723055	3352.545708	13044.2717	1348.81891	530342	481846	9718	38778	530342	481846	0	27	0	19	3	5	3.1	76.5	216	632.1	2459.6	254.3	41.8	18.9	27.6
450	6	56	251	98	239	664	1876	4339	345	119633	119633	0	0	119633	119633	0	6	0	6	0	0	5	209.8	555	1568.1	3626.9	288.4	46.8	81.9	199.8
460	2	52.22583322	36	5	7	238.0407831	1276.045185	7394.994059	415.9524001	337914	337914	0	0	337914	337914	0	18	0	18	0	0	0.6	10.7	70.4	377.6	2188.4	123.1	15.5	1.5	2.1
480	10.12268076	47.01793255	191.6600441	74	64	677.252606	2143.257481	5277.849458	543.8608817	213754	195352	0	18402	213754	195352	0	11	0	8	0	3	4.7	89.7	316.8	1002.7	2469.1	254.4	22	37.9	32.8
500	7.996173978	59.89379985	266.8772704	1	1	477.4749962	1826.878351	6713.950244	742.7439407	141458	115252	4032	22174	141458	20399	0	9	0	3	5	1	5.7	188.7	337.5	1291.5	4746.2	525.1	42.3	4.9	4.9
520	303.9389756	1258.060445	10468.09149	5658	3879	14617.09435	41810.06045	137550.0212	30730.92999	3534919	3110522	386525	37872	3534919	2748472	0	105	0	52	42	11	8.6	296.1	413.5	1182.8	3891.2	869.4	35.6	205.9	141.1
560	22	149	789	219	123	1164	3896	17595	894	336176	336176	0	0	336176	336176	0	33	0	33	0	0	6.5	234.7	346.2	1158.9	5233.9	265.9	44.3	65.1	36.6
580	4	45	111	51	147	775	1344	4249	191	94108	94108	0	0	94108	94108	0	3	0	3	0	0	4.3	117.9	823.5	1428.1	4515	203	47.8	54.2	156.2
600	30.07296707	192.7970356	861.9103239	345	381	1229.031528	5709.541764	15028.56091	2890.850361	470518	443287	26470	761	470518	443287	0	20	0	13	5	2	6.4	183.2	261.2	1213.5	3194	614.4	41	77.8	85.9
640	59	466	1471	394	707	3009	11467	38485	5252	1019596	1019596	0	0	1019596	1019596	0	32	0	32	0	0	5.8	144.3	295.1	1124.7	3774.5	515.1	45.7	38.6	69.3
680	55.71273882	194.5636941	987.5718631	326	424	2935.650112	7993.466802	17958.77041	3360.661394	625540	612483	0	13057	625540	612483	0	13	0	11	0	2	8.9	157.9	469.3	1277.9	2870.9	537.2	31.1	53.2	69.2
720	356	953	12183	6053	2968	15096	27667	93126	16216	2505920	2505920	0	0	2505920	2505920	0	17	0	17	0	0	14.2	486.2	602.4	1104.1	3716.2	647.1	38	241.5	118.4
733	2.008919592	41.12427964	24.14865986	5	6	120.7347621	984.435756	3675.560512	172.7248655	146717	142148	4096	473	146717	142148	0	14	0	11	2	1	1.4	16.5	82.3	671	2505.2	117.7	28	3.5	4.2
743	1	54	53	6	18	1167	1803	4523	373	198654	198654	0	0	198654	181499	0	15	0	15	0	0	0.5	26.7	587.5	907.6	2276.8	187.8	27.2	3.3	9.9
760	87.42118747	245.5586632	1922.921694	1332	746	2267.674308	9101.056346	29590.02031	4451.808345	563031	541607	8167	13257	563031	486388	0	13	0	10	2	1	15.5	341.5	402.8	1616.4	5255.5	790.7	43.6	273.9	153.4
840	28	339	635	210	264	1542	4563	12439	1573	394229	394229	0	0	394229	394229	0	18	0	18	0	0	7.1	161.1	391.1	1157.4	3155.3	399	86	53.3	67
860	5	101	85	20	38	269	1685	6148	324	152666	152666	0	0	152666	152666	0	8	0	8	0	0	3.3	55.7	176.2	1103.7	4027.1	212.2	66.2	13.1	24.9
870	9.741499972	96.32318571	98.05881315	14	39	512.5849509	1275.747239	4610.997497	412.7659962	166434	114249	36205	15980	166434	114249	0	21	0	15	2	4	5.9	58.9	308	766.5	2770.5	248	57.9	12.3	34.1
875	32	171	1649	301	205	2059	7008	24616	5247	1328669	1328669	0	0	1328669	1328669	0	88	0	88	0	0	2.4	124.1	155	527.4	1852.7	394.9	12.9	22.7	15.4
880	5	7	72	39	16	53	941	5208	701	126097	119585	0	0	119585	119585	6512	3	1	2	0	0	4.2	60.2	44.3	786.9	4355.1	586.2	5.9	32.6	13.4
920	22.98646948	145.6313432	573.1586598	57	67	704.5675248	4376.30316	12848.70325	1307.225766	346657	126549	76984	143124	346657	126549	0	12	0	5	3	4	6.6	165.3	203.2	1262.4	3706.5	377.1	42	45	52.9
960	8	47	101	17	12	267.7617521	1343.714103	5667.904701	204	261483	261483	0	0	261483	261483	0	10	0	10	0	0	3.1	38.6	102.4	513.9	2167.6	78	18	6.5	4.6
1000	145.6967459	369.2458162	2157.724932	528	690	3642.991289	9418.668253	29265.15096	5529.585814	894530	885374	0	9156	894530	610138	0	44	0	38	0	6	16.3	241.2	407.3	1052.9	3271.6	618.2	41.3	86.5	113.1
1010	1	23	9	1	13	107	386	2492	169	88564	88564	0	0	88564	88564	0	4	0	4	0	0	1.1	10.2	120.8	435.8	2813.8	190.8	26	1.1	14.7
1020	1.622774338	50.10501938	76.14847539	23	12	180.0862072	943.1163805	3623.542382	352.1284549	116047	63777	0	52270	116047	63777	0	2	0	1	0	1	1.4	65.6	155.2	812.7	3122.5	303.4	43.2	36.1	18.8
1040	0	0	0	0	0	0	0	0	0	139251	0	0	0	0	0	139251	9	9	0	0	0									
1080	9	134	107	37	210	843	2841	11735	849	371511	371511	0	0	371511	371511	0	9	0	9	0	0	2.4	28.8	226.9	764.7	3158.7	228.5	36.1	10	56.5
1123	106.807056	1422.322537	6072.458335	1376	1169	22725.43145	31304.44942	98087.48768	26059.5929	5816726	4861027	115565	210537	5187129	4410577	629597	276	50	199	8	19	2.1	117.1	438.1	603.5	1891	502.4	27.4	31.2	26.5
1125	4.749361503	124.428943	113.2131921	41.10324635	92.918396	425.1322311	2384.5169	9021.467116	695.4176083	265794	264335	0	1459	265794	264335	0	8	0	7	0	1	1.8	42.6	159.9	897.1	3394.2	261.6	46.8	15.5	35.2
1145	3.03170441	71.32075723	79.67607513	27	80	508.6061882	1375.927102	4320.488983	391.4853687	223716	222901	0	815	223716	222901	0	16	0	15	0	1	1.4	35.6	227.3	615	1931.2	175	31.9	12.1	35.9
