msa08	mmurd08	mrape08	mrobt08	mrobg08	massg08	massa08	mburg08	mlarc08	mmoto08	mpop08	mpopcm08	mpopg308	mpopl308	mpoprp08	mpopgn08	mpopna08	mct08	mctna08	mctcm08	mctg308	mctl308	mrmurd08	mrrobt08	mrassa08	mrburg08	mrlarc08	mrmoto08	mrrape08	mrrobg08	mrassg08
0	14221.53285	68175.40776	417995.2786	158357.9378	141058.4385	704264.1113	1829151.219	5492657.86	866720.8312	246206711	236653846	2996640	2423079	235131137	218997743	4133146	7761	364	6687	314	396	5.9	172.7	290.9	755.6	2269	358	29	72.3	64.4
40	7	92	183	75	163	392	1330	3259	242	132420	132420	0	0	132420	132420	0	5	0	5	0	0	5.3	138.2	296	1004.4	2461.1	182.8	69.5	56.6	123.1
80	23.42656873	295.4454735	1005.297942	383	160	1162.845499	6264.44712	15819.85719	1546.71288	699914	625711	23665	50538	699914	625711	0	35	0	22	4	9	3.3	143.6	166.1	895	2260.3	221	42.2	61.2	25.6
120	11.13685958	42.66667089	264.0077525	2	3	745.4474673	2013.4137	4414.87651	495.5764013	129283	19486	105876	3921	129283	19486	0	5	0	1	2	2	8.6	204.2	576.6	1557.4	3414.9	383.3	33	10.3	15.4
160	24.04584302	180.8000704	962.7536393	266	219	1779.088237	4531.194549	17317.15141	895.3235686	905064	846522	56381	2161	905064	846522	0	40	0	37	2	1	2.7	106.4	196.6	500.6	1913.4	98.9	20	31.4	25.9
200	61	488	1579	795	1057	4429.142857	8638	25727	5819	830223	829586	637	0	830223	829586	0	14	0	13	1	0	7.3	190.2	533.5	1040.4	3098.8	700.9	58.8	95.8	127.4
220	12.41799012	56.51327696	212.2980671	7	93	870.0157548	1688.307912	4674.490406	404.5501523	131292	74043	48592	8657	131292	74043	0	9	0	2	2	5	9.5	161.7	662.7	1285.9	3560.4	308.1	43	9.5	125.6
240	23.12676947	118.5792008	812.9852947	292.8552576	114	940.1709815	3456.742807	14984.75469	1103.797697	701008	674818	6883	19307	701008	674818	0	61	0	56	2	3	3.3	116	134.1	493.1	2137.6	157.5	16.9	43.4	16.9
280	4.137152146	29.96566307	92.2979004	16	21	246.8309188	651.3440506	1902.406307	112.2033356	125036	116659	3168	5209	125036	116659	0	14	0	12	1	1	3.3	73.8	197.4	520.9	1521.5	89.7	24	13.7	18
320	15	132	327	97	238	1065	2598	7643	799	235809	235809	0	0	235809	235809	0	5	0	5	0	0	6.4	138.7	451.6	1101.7	3241.2	338.8	56	41.1	100.9
