msa05	mmurd05	mrape05	mrobt05	mrobg05	massg05	massa05	mburg05	mlarc05	mmoto05	mpop05	mpopcm05	mpopg305	mpopl305	mpoprp05	mpopgn05	mpopna05	mct05	mctna05	mctcm05	mctg305	mctl305	mrmurd05	mrrobt05	mrassa05	mrburg05	mrlarc05	mrmoto05	mrrape05	mrrobg05	mrassg05
0	14756.53165	73265.9237	394242.0996	140085.3863	140063.4034	726930.2851	1755833.547	5612320.896	1128160.792	238918103	223059317	3930312	4724110	228020956	206571969	7204364	7624	497	6124	386	617	6.4	170.1	313.7	757.8	2422.1	486.9	32.1	67.8	67.8
40	6	80	151	49	126	369	1665	3906	330	132986	132986	0	0	132986	132986	0	5	0	5	0	0	4.5	113.5	277.5	1252	2937.2	248.1	60.2	36.8	94.7
80	40.65422958	357.7052845	830.3482749	223.9990518	125	690.3418133	6081.290638	17827.42529	2158.381589	702386	678637	504	23245	702386	678637	0	32	0	28	1	3	5.8	118.2	98.3	865.8	2538.1	307.3	50.9	33	18.4
120	8	45.27272727	226.7272727	93	72	291.9090909	2031.036364	3822.8	379.9090909	129053	105386	23667	0	129053	105386	0	5	0	2	3	0	6.2	175.7	226.2	1573.8	2962.2	294.4	35.1	88.2	68.3
160	26.0827374	231.7247796	914.4104357	240	236	2079.183793	4679.7441	17326.23944	1363.686246	895834	888621	3362	3851	895834	888621	0	42	0	39	1	2	2.9	102.1	232.1	522.4	1934.1	152.2	25.9	27	26.6
200	75	372.3333333	1323.666667	682	1019	4631.333333	8447.666667	24780.51515	5034.666667	774664	766990	7674	0	774664	766990	0	14	0	12	2	0	9.7	170.9	597.9	1090.5	3198.9	649.9	48.1	88.9	132.9
220	10.69466164	52.58320322	171.19053	73	259	1191.88955	1794.489731	4518.712995	471.3148328	128236	59859	59757	8620	128236	59859	0	9	0	2	2	5	8.3	133.5	929.5	1399.4	3523.7	367.5	41	122	432.7
240	31.61701764	146.041621	845.0121988	280.4116561	149	1218.243801	3207.078153	14246.1122	1227.304303	671057	581551	40435	49071	671057	581551	0	55	0	39	9	7	4.7	125.9	181.5	477.9	2122.9	182.9	21.8	48.2	25.6
280	7.347814824	42.29657635	97.33213262	28	32	196.0948674	774.3487813	2228.685932	151.596901	127708	112438	4715	10555	127708	112438	0	13	0	9	1	3	5.8	76.2	153.5	606.3	1745.1	118.7	33.1	24.9	28.5
320	11	94	352	115	297	1154	2797	8879	1130	231214	231214	0	0	231214	231214	0	5	0	5	0	0	4.8	152.2	499.1	1209.7	3840.2	488.7	40.7	49.7	128.5
