MSA	National Immigration	
Los Angeles-Long Beach-Santa Ana, CA	-1,266,794
Louisville/Jefferson County, KY-IN	29,305
Lubbock, TX	1,787
Lynchburg, VA	13,882
Macon, GA	-862
Madera, CA	7,988
Madison, WI	20,087
Manchester-Nashua, NH	-4,427
Mansfield, OH	-6,635
McAllen-Edinburg-Mission, TX	15,922
Medford, OR	16,687
Memphis, TN-MS-AR	-2,176
Merced, CA	3,422
Miami-Fort Lauderdale-Pompano Beach, FL	-222,796
Michigan City-La Porte, IN	-2,052
Midland, TX	4,220
Milwaukee-Waukesha-West Allis, WI	-74,186
Minneapolis-St. Paul-Bloomington, MN-WI	-22,606
Missoula, MT	7,099
Mobile, AL	-11,085
Modesto, CA	12,696
Monroe, LA	-5,079
Monroe, MI	2,402
Montgomery, AL	3,734
Morgantown, WV	3,900
Morristown, TN	7,823
Mount Vernon-Anacortes, WA	9,254
Muncie, IN	-5,780
Muskegon-Norton Shores, MI	-2,293
Myrtle Beach-North Myrtle Beach-Conway, SC	52,492
Napa, CA	659
Naples-Marco Island, FL	37,550
Nashville-Davidson--Murfreesboro--Franklin, TN	112,353
New Haven-Milford, CT	-18,092
New Orleans-Metairie-Kenner, LA	-308,583
New York-Northern New Jersey-Long Island, NY-NJ-PA	-1,832,667
Niles-Benton Harbor, MI	-8,974
Norwich-New London, CT	-3,416
Ocala, FL	74,479
Ocean City, NJ	-3,751
Odessa, TX	-605
Ogden-Clearfield, UT	18,116
Oklahoma City, OK	31,658
Olympia, WA	28,958
Omaha-Council Bluffs, NE-IA	5,202
Orlando-Kissimmee, FL	237,203
Oshkosh-Neenah, WI	-104
Owensboro, KY	-884
Oxnard-Thousand Oaks-Ventura, CA	-38,205
Palm Bay-Melbourne-Titusville, FL	60,691
Palm Coast, FL	41,981
Panama City-Lynn Haven, FL	10,275
Parkersburg-Marietta-Vienna, WV-OH	-3,592
Pascagoula, MS	-3,870
Pensacola-Ferry Pass-Brent, FL	26,182
Peoria, IL	-5,592
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	-112,092
Phoenix-Mesa-Scottsdale, AZ	542,101
Pine Bluff, AR	-9,370
Pittsburgh, PA	-57,928
Pittsfield, MA	-3,667
Pocatello, ID	-5,363
Portland-South Portland-Biddeford, ME	15,245
Portland-Vancouver-Beaverton, OR-WA	103,445
Port St. Lucie, FL	78,253
Poughkeepsie-Newburgh-Middletown, NY	13,178
Prescott, AZ	47,086
Providence-New Bedford-Fall River, RI-MA	-46,504
Provo-Orem, UT	25,226
Pueblo, CO	9,786
Punta Gorda, FL	18,093
Racine, WI	-3,371
Raleigh-Cary, NC	171,932
Rapid City, SD	1,787
Reading, PA	15,226
Redding, CA	14,763
Reno-Sparks, NV	38,778
Richmond, VA	73,753
Riverside-San Bernardino-Ontario, CA	472,301
Roanoke, VA	7,306
Rochester, MN	2,744
Rochester, NY	-41,108
Rockford, IL	9,411
Rocky Mount, NC	-1,155
Rome, GA	692
Sacramento--Arden-Arcade--Roseville, CA	138,191
Saginaw-Saginaw Township North, MI	-14,503
St. Cloud, MN	3,290
St. George, UT	34,347
St. Joseph, MO-KS	-2,017
St. Louis, MO-IL	-41,387
Salem, OR	12,128
Salinas, CA	-60,478
Salisbury, MD	6,989
Salt Lake City, UT	-33,118
San Angelo, TX	-1,330
San Antonio, TX	156,135
San Diego-Carlsbad-San Marcos, CA	-114,316
Sandusky, OH	-3,002
San Francisco-Oakland-Fremont, CA	-353,167
San Jose-Sunnyvale-Santa Clara, CA	-234,359
San Luis Obispo-Paso Robles, CA	10,641
Santa Barbara-Santa Maria-Goleta, CA	-36,208
Santa Cruz-Watsonville, CA	-26,737
Santa Fe, NM	3,865
Santa Rosa-Petaluma, CA	-23,074
Savannah, GA	22,399
Scranton--Wilkes-Barre, PA	3,150
Seattle-Tacoma-Bellevue, WA	21,440
Sebastian-Vero Beach, FL	21,119
Sheboygan, WI	-1,410
