MSA	35 to 44 years
Warner Robins, GA	13.9
Washington-Arlington-Alexandria, DC-VA-MD-WV	15.7
Waterloo-Cedar Falls, IA	11.1
Wausau, WI	13.8
Weirton-Steubenville, WV-OH	12.4
Wenatchee, WA	11.9
Wheeling, WV-OH	12.7
Wichita, KS	13.1
Wichita Falls, TX	12.3
Williamsport, PA	12.6
Wilmington, NC	13.7
Winchester, VA-WV	14.4
Winston-Salem, NC	14.5
Worcester, MA	14.7
Yakima, WA	12.4
York-Hanover, PA	14.4
Youngstown-Warren-Boardman, OH-PA	12.4
Yuba City, CA	12.8
Yuma, AZ	11.5
