MSA	45 to 54 years
Louisville-Jefferson County, KY-IN	15.6
Lubbock, TX	12.5
Lynchburg, VA	14.2
Macon, GA	14.6
Madera, CA	12.0
Madison, WI	14.9
Manchester-Nashua, NH	17.1
Mansfield, OH	15.2
McAllen-Edinburg-Mission, TX	10.1
Medford, OR	14.4
Memphis, TN-MS-AR	14.8
Merced, CA	11.8
Miami-Fort Lauderdale-Pompano Beach, FL	14.9
Michigan City-La Porte, IN	15.1
Midland, TX	15.1
Milwaukee-Waukesha-West Allis, WI	15.8
Minneapolis-St. Paul-Bloomington, MN-WI	16.0
Missoula, MT	14.5
Mobile, AL	14.8
Modesto, CA	13.2
Monroe, LA	13.4
Monroe, MI	16.1
Montgomery, AL	14.4
Morgantown, WV	12.9
Morristown, TN	13.6
Mount Vernon-Anacortes, WA	13.7
Muncie, IN	12.7
Muskegon-Norton Shores, MI	15.1
Myrtle Beach-North Myrtle Beach-Conway, SC	13.1
Napa, CA	14.5
Naples-Marco Island, FL	12.1
Nashville-Davidson--Murfreesboro--Franklin, TN	15.1
New Haven-Milford, CT	15.2
New Orleans-Metairie-Kenner, LA	15.9
New York-Northern New Jersey-Long Island, NY-NJ-PA	15.1
Niles-Benton Harbor, MI	15.3
Norwich-New London, CT	16.2
Ocala, FL	12.3
Ocean City, NJ	15.2
Odessa, TX	13.5
Ogden-Clearfield, UT	12.1
Oklahoma City, OK	14.1
Olympia, WA	14.8
Omaha-Council Bluffs, NE-IA	14.5
Orlando-Kissimee, FL	14.3
Oshkosh-Neenah, WI	15.4
Owensboro, KY	15.0
Oxnard-Thousand Oaks-Ventura, CA	15.1
Palm Bay-Melbourne-Titusville, FL	15.4
Palm Coast, FL	11.6
Panama City-Lynn Haven, FL	15.2
Parkersburg-Marietta-Vienna, WV-OH	15.8
Pascagoula, MS	15.1
Pensacola-Ferry Pass-Brent, FL	14.7
Peoria, IL	14.3
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	15.5
Phoenix-Mesa-Scottsdale, AZ	12.9
Pine Bluff, AR	14.7
Pittsburgh, PA	16.3
Pittsfield, MA	15.6
Pocatello, ID	12.9
Portland-South Portland-Biddeford, ME	17.3
Portland-Vancouver-Beaverton, OR-WA	15.2
Port St. Lucie, FL	13.2
Poughkeepsie-Newburgh-Middletown, NY	15.6
Prescott, AZ	13.1
Providence-New Bedford-Fall River, RI-MA	15.3
Provo-Orem, UT	8.6
Pueblo, CO	13.7
Punta Gorda, FL	12.8
Racine, WI	16.1
Raleigh-Cary, NC	14.7
Rapid City, SD	15.0
