MSA	55 to 64 years
Abilene, TX	9.6
Akron, OH	11.9
Albany, GA	11.3
Albany-Schenectady-Troy, NY	12.1
Albuquerque, NM	11.2
Alexandria, LA	11.1
Allentown-Bethlehem-Easton, PA-NJ	11.6
Altoona, PA	12.6
Amarillo, TX	10.1
Ames, IA	8.3
Anchorage, AK	10.6
Anderson, IN	12.4
Anderson, SC	12.5
Ann Arbor, MI	10.5
Anniston-Oxford, AL	12.1
Appleton, WI	10.6
Asheville, NC	12.9
Athens-Clarke County, GA	9.1
Atlanta-Sandy Springs-Marietta, GA	10.3
Atlantic City-Hammonton, NJ	10.4
Auburn-Opelika, AL	9.0
Augusta-Richmond County, GA-SC	11.6
Austin-Round Rock, TX	8.9
Bakersfield, CA	7.9
Baltimore-Towson, MD	11.5
Bangor, ME	12.7
Barnstable Town, MA	13.2
Baton Rouge, LA	10.5
Battle Creek, MI	12.0
Bay City, MI	13.0
Beaumont-Port Arthur, TX	11.1
Bellingham, WA	11.5
Bend, OR	12.4
Billings, MT	12.2
Binghamton, NY	11.6
Birmingham-Hoover, AL	11.8
Bismarck, ND	11.1
Blacksburg-Christiansburg-Radford, VA	9.7
Bloomington, IN	9.7
Bloomington-Normal, IL	9.1
Boise City-Nampa, ID	10.2
Boston-Cambridge-Quincy, MA-NH	11.5
Boulder, CO	11.9
Bowling Green, KY	10.7
Bradenton-Sarasota-Venice, FL	12.6
Bremerton-Silverdale, WA	13.3
Bridgeport-Stamford-Norwalk, CT	11.6
Brownsville-Harlingen, TX	8.3
Brunswick, GA	11.8
Buffalo-Niagara Falls, NY	12.0
Burlington, NC	11.2
Burlington-South Burlington, VT	12.0
Canton-Massillon, OH	12.7
Cape Coral-Fort Myers, FL	11.7
Carson City, NV	12.7
Casper, WY	11.5
Cedar Rapids, IA	11.0
Champaign-Urbana, IL	8.6
Charleston, WV	13.7
Charleston-North Charleston-Summerville, SC	11.9
Charlotte-Gastonia-Concord, NC-SC	10.8
Charlottesville, VA	10.6
Chattanooga, TN-GA	12.6
Cheyenne, WY	11.1
Chicago-Naperville-Joliet, IL-IN-WI	10.5
Chico, CA	10.6
Cincinnati-Middletown, OH-KY-IN	11.0
Clarksville, TN-KY	9.4
Cleveland, TN	11.9
