MSA	0-24 years
Louisville-Jefferson County, KY-IN	32.3
Lubbock, TX	40.5
Lynchburg, VA	32.5
Macon, GA	35.4
Madera, CA	38.0
Madison, WI	34.4
Manchester-Nashua, NH	32.4
Mansfield, OH	30.8
McAllen-Edinburg-Mission, TX	46.5
Medford, OR	30.3
Memphis, TN-MS-AR	36.6
Merced, CA	42.5
Miami-Fort Lauderdale-Pompano Beach, FL	31.0
Michigan City-La Porte, IN	31.3
Midland, TX	38.2
Milwaukee-Waukesha-West Allis, WI	34.3
Minneapolis-St. Paul-Bloomington, MN-WI	34.2
Missoula, MT	34.5
Mobile, AL	35.7
Modesto, CA	38.9
Monroe, LA	37.2
Monroe, MI	32.3
Montgomery, AL	36.3
Morgantown, WV	37.8
Morristown, TN	30.7
Mount Vernon-Anacortes, WA	32.2
Muncie, IN	37.3
Muskegon-Norton Shores, MI	33.9
Myrtle Beach-North Myrtle Beach-Conway, SC	29.1
Napa, CA	32.0
Naples-Marco Island, FL	26.5
Nashville-Davidson--Murfreesboro--Franklin, TN	33.8
New Haven-Milford, CT	32.9
New Orleans-Metairie-Kenner, LA	34.1
New York-Northern New Jersey-Long Island, NY-NJ-PA	32.6
Niles-Benton Harbor, MI	32.9
Norwich-New London, CT	31.6
Ocala, FL	27.4
Ocean City, NJ	27.9
Odessa, TX	40.3
Ogden-Clearfield, UT	42.1
Oklahoma City, OK	35.7
Olympia, WA	31.5
Omaha-Council Bluffs, NE-IA	36.3
Orlando-Kissimee, FL	32.9
Oshkosh-Neenah, WI	32.8
Owensboro, KY	32.8
Oxnard-Thousand Oaks-Ventura, CA	36.2
Palm Bay-Melbourne-Titusville, FL	28.1
Palm Coast, FL	25.8
Panama City-Lynn Haven, FL	30.9
Parkersburg-Marietta-Vienna, WV-OH	29.3
Pascagoula, MS	35.6
Pensacola-Ferry Pass-Brent, FL	33.4
Peoria, IL	33.3
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	33.6
Phoenix-Mesa-Scottsdale, AZ	36.1
Pine Bluff, AR	34.2
Pittsburgh, PA	29.7
Pittsfield, MA	29.6
Pocatello, ID	40.8
Portland-South Portland-Biddeford, ME	29.7
Portland-Vancouver-Beaverton, OR-WA	32.3
Port St. Lucie, FL	28.5
Poughkeepsie-Newburgh-Middletown, NY	35.4
Prescott, AZ	27.7
Providence-New Bedford-Fall River, RI-MA	32.3
Provo-Orem, UT	50.9
Pueblo, CO	33.6
Punta Gorda, FL	22.2
Racine, WI	33.5
Raleigh-Cary, NC	35.8
Rapid City, SD	35.0
Reading, PA	33.1
Redding, CA	32.0
Reno-Sparks, NV	33.4
Richmond, VA	33.3
Riverside-San Bernardino-Ontario, CA	39.3
Roanoke, VA	29.7
Rochester, MN	33.5
Rochester, NY	33.9
Rockford, IL	33.8
Rocky Mount, NC	33.3
Rome, GA	34.6
Sacramento--Arden-Arcade--Roseville, CA	34.9
Saginaw-Saginaw Township North, MI	33.9
St. Cloud, MN	37.1
St. George, UT	38.6
St. Joseph, MO-KS	32.7
St. Louis, MO-IL	33.5
Salem, OR	35.3
Salinas, CA	38.6
Salisbury, MD	34.8
Salt Lake City, UT	39.9
San Angelo, TX	38.1
San Antonio, TX	37.9
San Diego-Carlsbad-San Marcos, CA	36.6
Sandusky, OH	29.7
San Francisco-Oakland-Fremont, CA	30.5
San Jose-Sunnyvale-Santa Clara, CA	33.6
San Luis Obispo-Paso Robles, CA	34.1
Santa Barbara-Santa Maria-Goleta, CA	38.3
Santa Cruz-Watsonville, CA	34.7
Santa Fe, NM	29.5
Santa Rosa-Petaluma, CA	32.3
Savannah, GA	36.8
Scranton--Wilkes-Barre, PA	29.8
Seattle-Tacoma-Bellevue, WA	31.8
Sebastian-Vero Beach, FL	26.4
Sheboygan, WI	31.5
Sherman-Denison, TX	33.3
Shreveport-Bossier City, LA	35.8
Sioux City, IA-NE-SD	36.2
Sioux Falls, SD	34.7
South Bend-Mishawaka, IN-MI	35.9
Spartanburg, SC	32.7
Spokane, WA	33.8
Springfield, IL	31.6
Springfield, MA	34.5
Springfield, MO	34.6
Springfield, OH	32.0
State College, PA	43.9
Stockton, CA	39.1
Sumter, SC	36.3
Syracuse, NY	34.4
Tallahassee, FL	38.1
Tampa-St. Petersburg-Clearwater, FL	29.7
Terre Haute, IN	33.8
Texarkana, TX-Texarkana, AR	32.8
Toledo, OH	35.2
Topeka, KS	32.9
Trenton-Ewing, NJ	33.9
Tucson, AZ	33.9
Tulsa, OK	34.7
Tuscaloosa, AL	37.9
Tyler, TX	35.5
Utica-Rome, NY	31.1
Valdosta, GA	39.0
Vallejo-Fairfield, CA	35.3
Victoria, TX	36.2
Vineland-Millville-Bridgeton, NJ	33.0
Virginia Beach-Norfolk-Newport News, VA-NC	36.0
Visalia-Porterville, CA	42.8
Waco, TX	40.0
Warner Robins, GA	36.6
Washington-Arlington-Alexandria, DC-VA-MD-WV	33.6
Waterloo-Cedar Falls, IA	36.5
Wausau, WI	32.0
Weirton-Steubenville, WV-OH	28.3
Wenatchee, WA	34.2
Wheeling, WV-OH	28.8
Wichita, KS	36.4
Wichita Falls, TX	37.5
Williamsport, PA	31.4
Wilmington, NC	31.0
Winchester, VA-WV	31.9
Winston-Salem, NC	32.8
Worcester, MA	33.3
Yakima, WA	39.7
York-Hanover, PA	30.8
Youngstown-Warren-Boardman, OH-PA	30.4
Yuba City, CA	37.7
Yuma, AZ	38.3
