MSA	College Degree
Louisville-Jefferson County, KY-IN	23.3
Lubbock, TX	26.9
Lynchburg, VA	21.2
Macon, GA	20.5
Madera, CA	11.7
Madison, WI	41.2
Manchester-Nashua, NH	33.4
Mansfield, OH	14.1
McAllen-Edinburg-Mission, TX	15.0
Medford, OR	23.5
Memphis, TN-MS-AR	23.9
Merced, CA	12.7
Miami-Fort Lauderdale-Pompano Beach, FL	27.8
Michigan City-La Porte, IN	16.4
Midland, TX	25.1
Milwaukee-Waukesha-West Allis, WI	29.7
Minneapolis-St. Paul-Bloomington, MN-WI	36.5
Missoula, MT	36.9
Mobile, AL	19.4
Modesto, CA	15.3
Monroe, LA	21.5
Monroe, MI	16.3
Montgomery, AL	25.8
Morgantown, WV	27.7
Morristown, TN	12.3
Mount Vernon-Anacortes, WA	22.2
Muncie, IN	21.7
Muskegon-Norton Shores, MI	17.3
Myrtle Beach-North Myrtle Beach-Conway, SC	20.6
Napa, CA	28.3
Naples-Marco Island, FL	30.0
Nashville-Davidson--Murfreesboro--Franklin, TN	28.2
New Haven-Milford, CT	30.9
New Orleans-Metairie-Kenner, LA	24.8
New York-Northern New Jersey-Long Island, NY-NJ-PA	34.6
Niles-Benton Harbor, MI	23.0
Norwich-New London, CT	29.4
Ocala, FL	15.6
Ocean City, NJ	26.9
Odessa, TX	12.2
Ogden-Clearfield, UT	27.3
Oklahoma City, OK	26.9
Olympia, WA	31.1
Omaha-Council Bluffs, NE-IA	31.7
Orlando-Kissimee, FL	27.4
Oshkosh-Neenah, WI	24.2
Owensboro, KY	15.4
Oxnard-Thousand Oaks-Ventura, CA	30.1
Palm Bay-Melbourne-Titusville, FL	26.2
Palm Coast, FL	20.5
Panama City-Lynn Haven, FL	21.1
Parkersburg-Marietta-Vienna, WV-OH	17.0
Pascagoula, MS	17.4
Pensacola-Ferry Pass-Brent, FL	23.3
Peoria, IL	24.4
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	31.2
Phoenix-Mesa-Scottsdale, AZ	26.5
Pine Bluff, AR	14.5
Pittsburgh, PA	27.2
Pittsfield, MA	30.1
Pocatello, ID	27.7
Portland-South Portland-Biddeford, ME	33.0
Portland-Vancouver-Beaverton, OR-WA	31.9
Port St. Lucie, FL	21.7
Poughkeepsie-Newburgh-Middletown, NY	28.1
Prescott, AZ	22.8
Providence-New Bedford-Fall River, RI-MA	27.4
Provo-Orem, UT	34.6
Pueblo, CO	20.5
Punta Gorda, FL	19.5
Racine, WI	22.9
Raleigh-Cary, NC	40.3
Rapid City, SD	26.2
Reading, PA	21.5
Redding, CA	17.8
Reno-Sparks, NV	26.7
Richmond, VA	30.2
Riverside-San Bernardino-Ontario, CA	18.7
Roanoke, VA	23.3
Rochester, MN	33.7
Rochester, NY	30.2
Rockford, IL	19.8
Rocky Mount, NC	15.6
Rome, GA	16.4
Sacramento--Arden-Arcade--Roseville, CA	29.6
Saginaw-Saginaw Township North, MI	17.9
St. Cloud, MN	22.2
St. George, UT	20.5
St. Joseph, MO-KS	16.6
St. Louis, MO-IL	28.0
Salem, OR	22.1
Salinas, CA	23.6
Salisbury, MD	22.1
Salt Lake City, UT	29.0
San Angelo, TX	21.1
San Antonio, TX	23.9
San Diego-Carlsbad-San Marcos, CA	33.2
Sandusky, OH	19.1
San Francisco-Oakland-Fremont, CA	42.5
