MSA	Physicians per 100,000
Myrtle Beach-North Myrtle Beach-Conway, SC	187
Napa, CA	435
Naples-Marco Island, FL	417
Nashville-Davidson--Murfreesboro--Franklin, TN	388
New Haven-Milford, CT	573
New Orleans-Metairie-Kenner, LA	476
New York-Northern New Jersey-Long Island, NY-NJ-PA	467
Niles-Benton Harbor, MI	213
Norwich-New London, CT	281
Ocala, FL	188
Ocean City, NJ	159
Odessa, TX	205
Ogden-Clearfield, UT	174
Oklahoma City, OK	300
Olympia, WA	305
Omaha-Council Bluffs, NE-IA	391
Orlando-Kissimee, FL	237
Oshkosh-Neenah, WI	293
Owensboro, KY	195
Oxnard-Thousand Oaks-Ventura, CA	264
Palm Bay-Melbourne-Titusville, FL	260
Palm Coast, FL	176
Panama City-Lynn Haven, FL	238
Parkersburg-Marietta-Vienna, WV-OH	195
Pascagoula, MS	215
Pensacola-Ferry Pass-Brent, FL	290
Peoria, IL	319
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	425
Phoenix-Mesa-Scottsdale, AZ	242
Pine Bluff, AR	190
Pittsburgh, PA	415
Pittsfield, MA	459
Pocatello, ID	234
Portland-South Portland-Biddeford, ME	395
Portland-Vancouver-Beaverton, OR-WA	369
Port St. Lucie, FL	224
Poughkeepsie-Newburgh-Middletown, NY	265
Prescott, AZ	244
Providence-New Bedford-Fall River, RI-MA	338
Provo-Orem, UT	135
Pueblo, CO	283
Punta Gorda, FL	283
Racine, WI	177
Raleigh-Cary, NC	244
Rapid City, SD	342
Reading, PA	205
Redding, CA	284
Reno-Sparks, NV	323
Richmond, VA	367
Riverside-San Bernardino-Ontario, CA	171
Roanoke, VA	413
Rochester, MN	1,871
Rochester, NY	419
Rockford, IL	257
Rocky Mount, NC	148
Rome, GA	391
Sacramento--Arden-Arcade--Roseville, CA	317
Saginaw-Saginaw Township North, MI	290
St. Cloud, MN	269
St. George, UT	197
St. Joseph, MO-KS	161
St. Louis, MO-IL	348
Salem, OR	201
Salinas, CA	251
Salisbury, MD	299
Salt Lake City, UT	360
San Angelo, TX	233
San Antonio, TX	336
San Diego-Carlsbad-San Marcos, CA	372
Sandusky, OH	192
San Francisco-Oakland-Fremont, CA	476
San Jose-Sunnyvale-Santa Clara, CA	415
San Luis Obispo-Paso Robles, CA	343
Santa Barbara-Santa Maria-Goleta, CA	348
Santa Cruz-Watsonville, CA	323
Santa Fe, NM	424
Santa Rosa-Petaluma, CA	333
Savannah, GA	343
Scranton--Wilkes-Barre, PA	252
Seattle-Tacoma-Bellevue, WA	390
Sebastian-Vero Beach, FL	340
Sheboygan, WI	187
Sherman-Denison, TX	207
Shreveport-Bossier City, LA	474
Sioux City, IA-NE-SD	192
Sioux Falls, SD	387
South Bend-Mishawaka, IN-MI	250
Spartanburg, SC	245
Spokane, WA	329
Springfield, IL	539
Springfield, MA	325
Springfield, MO	251
Springfield, OH	177
State College, PA	232
Stockton, CA	170
Sumter, SC	162
Syracuse, NY	398
Tallahassee, FL	252
Tampa-St. Petersburg-Clearwater, FL	307
Terre Haute, IN	218
Texarkana, TX-Texarkana, AR	252
Toledo, OH	343
Topeka, KS	252
Trenton-Ewing, NJ	432
Tucson, AZ	374
Tulsa, OK	222
Tuscaloosa, AL	264
Tyler, TX	401
Utica-Rome, NY	224
Valdosta, GA	184
Vallejo-Fairfield, CA	230
Victoria, TX	205
Vineland-Millville-Bridgeton, NJ	142
Virginia Beach-Norfolk-Newport News, VA-NC	314
Visalia-Porterville, CA	128
Waco, TX	232
Warner Robins, GA	156
Washington-Arlington-Alexandria, DC-VA-MD-WV	453
Waterloo-Cedar Falls, IA	221
Wausau, WI	301
Weirton-Steubenville, WV-OH	147
Wenatchee, WA	271
Wheeling, WV-OH	269
Wichita, KS	268
Wichita Falls, TX	247
Williamsport, PA	229
Wilmington, NC	296
Winchester, VA-WV	316
Winston-Salem, NC	495
Worcester, MA	374
Yakima, WA	201
York-Hanover, PA	202
Youngstown-Warren-Boardman, OH-PA	230
Yuba City, CA	164
Yuma, AZ	129
