MSA	65 years+
Louisville-Jefferson County, KY-IN	12.7
Lubbock, TX	11.4
Lynchburg, VA	15.7
Macon, GA	12.8
Madera, CA	10.3
Madison, WI	10.3
Manchester-Nashua, NH	11.5
Mansfield, OH	15.8
McAllen-Edinburg-Mission, TX	9.7
Medford, OR	17.1
Memphis, TN-MS-AR	10.4
Merced, CA	9.9
Miami-Fort Lauderdale-Pompano Beach, FL	16.7
Michigan City-La Porte, IN	13.9
Midland, TX	11.7
Milwaukee-Waukesha-West Allis, WI	12.4
Minneapolis-St. Paul-Bloomington, MN-WI	10.1
Missoula, MT	10.5
Mobile, AL	12.3
Modesto, CA	10.5
Monroe, LA	13.0
Monroe, MI	12.5
Montgomery, AL	12.0
Morgantown, WV	11.6
Morristown, TN	15.2
Mount Vernon-Anacortes, WA	15.2
Muncie, IN	14.7
Muskegon-Norton Shores, MI	12.9
Myrtle Beach-North Myrtle Beach-Conway, SC	17.3
Napa, CA	14.5
Naples-Marco Island, FL	26.5
Nashville-Davidson--Murfreesboro--Franklin, TN	10.6
New Haven-Milford, CT	13.8
New Orleans-Metairie-Kenner, LA	12.3
New York-Northern New Jersey-Long Island, NY-NJ-PA	13.1
Niles-Benton Harbor, MI	15.6
Norwich-New London, CT	13.4
Ocala, FL	24.8
Ocean City, NJ	20.8
Odessa, TX	10.9
Ogden-Clearfield, UT	8.9
Oklahoma City, OK	11.8
Olympia, WA	12.5
Omaha-Council Bluffs, NE-IA	11.0
Orlando-Kissimee, FL	13.3
Oshkosh-Neenah, WI	12.8
Owensboro, KY	14.7
Oxnard-Thousand Oaks-Ventura, CA	11.4
Palm Bay-Melbourne-Titusville, FL	20.5
Palm Coast, FL	24.7
Panama City-Lynn Haven, FL	14.6
Parkersburg-Marietta-Vienna, WV-OH	16.8
Pascagoula, MS	11.4
Pensacola-Ferry Pass-Brent, FL	14.1
Peoria, IL	14.7
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	13.2
Phoenix-Mesa-Scottsdale, AZ	11.5
Pine Bluff, AR	13.2
Pittsburgh, PA	17.2
Pittsfield, MA	18.3
Pocatello, ID	10.5
Portland-South Portland-Biddeford, ME	14.2
Portland-Vancouver-Beaverton, OR-WA	10.6
Port St. Lucie, FL	22.1
Poughkeepsie-Newburgh-Middletown, NY	11.3
Prescott, AZ	23.2
Providence-New Bedford-Fall River, RI-MA	13.9
Provo-Orem, UT	6.4
Pueblo, CO	15.0
Punta Gorda, FL	29.8
Racine, WI	12.5
Raleigh-Cary, NC	8.1
Rapid City, SD	12.8
Reading, PA	14.2
Redding, CA	15.3
